model_time,CD95,FADD,DISC,p55free,DISCp55,p30,p43,p18,p18inactive,Bid,tBid,PrNES_mCherry,PrNES,mCherry,PrER_mGFP,PrER,mGFP,CD95L
0,12,90,0,127,0,0,0,0,0,224,0,1909,0,0,3316,0,0,16.600000000000001
0.25,12,89.910579189734406,0.088725977141382112,126.99930516687573,0.00069417142234139953,6.6169108889712258e-07,1.0798196126938747e-11,1.3676101277433393e-14,4.647250965694201e-17,224,5.3425286669061442e-14,1908.9999999999993,1.3112375141072507e-12,1.3112375141072507e-12,3316,2.4699644878648718e-15,2.4699644878648718e-15,16.600000000000001
0.5,12,89.821371763061606,0.17586551339305823,126.9972372764537,0.0027574571872223297,5.2660164963495474e-06,3.4167287546192563e-10,8.63953966838423e-13,5.8811375002411836e-15,223.9999999999967,3.3900343354579584e-12,1908.9999999999177,8.3202926402606152e-11,8.3202926402606152e-11,3316,3.125762064729853e-13,3.125762064729853e-13,16.600000000000001
0.75,12,89.732375281240337,0.26144567466383634,126.99382095589432,0.0061613609859783643,1.7680544312234916e-05,2.5655639114049934e-09,9.7138858120736142e-12,9.9348491270968219e-14,223.9999999999618,3.8285351508525517e-11,1908.9999999990612,9.3965221842833297e-10,9.3965221842833297e-10,3315.9999999999991,5.2802667033410146e-12,5.2802667033410146e-12,16.600000000000001
1,12,89.64358734597208,0.34549310793959515,126.98908045385706,0.010877843261790308,4.1692136001649287e-05,1.0690535628430373e-08,5.3874952682513883e-11,7.3586743065992195e-13,223.99999999978689,2.1327988216243628e-10,1908.9999999947661,5.2346107982132951e-09,5.2346107982132951e-09,3315.9999999999636,3.9110571710535087e-11,3.9110571710535087e-11,16.600000000000001
1.25,12,89.55500559877089,0.42803404595060479,126.9830396445152,0.016879314790505577,8.1008226855488355e-05,3.2261129252668299e-08,2.0286881071847462e-10,3.4693087740203564e-12,223.99999999919348,8.0667534065652475e-10,1908.9999999802026,1.9798545488816978e-08,1.9798545488816978e-08,3315.9999999998181,1.8439007345470589e-10,1.8439007345470589e-10,16.600000000000001
1.5,12,89.466627720340782,0.50909431187330245,126.97572203160391,0.02413863032056841,0.00013925808313976698,7.9382194971171083e-08,5.9796813310574298e-10,1.2291112730285239e-11,223.99999999761195,2.3882466349157152e-09,1908.9999999413853,5.8615662654440914e-08,5.8615662654440914e-08,3315.9999999993497,6.5325957612901359e-10,6.5325957612901359e-10,16.600000000000001
1.75,12,89.378451429960322,0.58869932406159253,126.9671507524978,0.032629082272894752,0.00021999403647143649,1.696687304637061e-07,1.4884738003892031e-09,3.5752351049814722e-11,223.99999999402908,5.9711373510657388e-09,1908.9999998534493,1.4655193794107082e-07,1.4655193794107082e-07,3315.9999999981023,1.9001994534526783e-09,1.9001994534526783e-09,16.600000000000001
2,12,89.290474484874494,0.6668741008029665,126.95734858231357,0.042324394501434687,0.00032669269593395414,3.27125145277912e-07,3.2740294775451789e-09,9.0020323465368958e-11,223.99999998680818,1.319198796785208e-08,1908.9999996762247,3.2377607284152839e-07,3.2377607284152839e-07,3315.9999999952188,4.7844845003372016e-09,4.7844845003372016e-09,16.600000000000001
2.25,12,89.202694679694318,0.74364326509495138,126.94633793803403,0.053198716115077892,0.00046275613843158741,5.8295726348621337e-07,6.55231658940474e-09,2.0300518112077316e-10,223.99999997348274,2.6517425611394071e-08,1908.9999993491733,6.5082745275141313e-07,6.5082745275141313e-07,3315.9999999892138,1.0789509581503089e-08,1.0789509581503089e-08,16.600000000000001
2.5,12,89.115109845802905,0.81903104943760141,126.93414088264942,0.065226615361475782,0.000631513077767411,9.7632027091450179e-07,1.2171512908276768e-08,4.1967694843610183e-10,223.99999995052505,4.9475121803194625e-08,1908.9999987857148,1.2142870867827164e-06,1.2142870867827164e-06,3315.9999999776969,2.2305383691589348e-08,2.2305383691589348e-08,16.600000000000001
2.75,12,89.027717850770145,0.89306130063795286,126.92077912931255,0.078383073573276577,0.00083622001291619723,1.5550057080704701e-06,2.1286936441789069e-08,8.0867912772202358e-10,223.99999991309238,8.6907700332647596e-08,1908.9999978669923,2.1330093669931212e-06,2.1330093669931212e-06,3315.9999999570223,4.2980436010079452e-08,4.2980436010079452e-08,16.600000000000001
3,12,88.940516597773808,0.9657574846225575,126.90627404550473,0.092643479177197577,0.001080062355949914,2.3760705059058861e-06,3.5421333098938392e-08,1.4703317773132565e-09,223.99999985475225,1.4524785108094458e-07,1908.999996435128,3.5648742934122676e-06,3.5648742934122676e-06,3315.9999999218562,7.8146570996681719e-08,7.8146570996681719e-08,16.600000000000001
3.25,12,88.853504025028329,1.0371426912543951,126.89064665720832,0.10798362176629098,0.0013661555400603729,3.5064109588854562e-06,5.6528301762828676e-08,2.5461045145753024e-09,223.99999976718698,2.3281307732408597e-07,1908.9999942859815,5.7140215709997724e-06,5.7140215709997724e-06,3315.9999998646799,1.3532274843103287e-07,1.3532274843103287e-07,16.600000000000001
3.5,12,88.766678105221146,1.1072396391506516,126.87391765308379,0.12437968623569591,0.0016975461081106533,5.0232844286511291e-06,8.7058383954915971e-08,4.229628271452769e-09,223.99999963988131,3.6011857374235173e-07,1908.9999911614736,8.8385296952962455e-06,8.8385296952962455e-06,3315.9999997752016,2.248002465139722e-07,2.248002465139722e-07,16.600000000000001
3.75,12,88.680036844956248,1.1760706804980334,126.85610738864762,0.14180824698210986,0.0020772127821343804,7.0147814719941054e-06,1.3002737728354536e-07,6.7793037849568776e-09,223.99999945979309,5.4020680006120197e-07,1908.9999867414986,1.3258504805002945e-05,1.3258504805002945e-05,3315.9999996396905,3.6031278973289519e-07,3.6031278973289519e-07,16.600000000000001
4,12,88.59357828420525,1.2436578058624317,126.83723589044867,0.16024626216715626,0.0025080675141896298,9.5802509889913446e-06,1.8908646237520564e-07,1.0532554701909996e-08,223.99999921100746,7.8899238094822837e-07,1908.9999806354572,1.9364545692144235e-05,1.9364545692144235e-05,3315.9999994402087,5.5979408622555255e-07,5.5979408622555255e-07,16.600000000000001
4.25,12,88.507300495765435,1.3100226489899598,126.81732286023986,0.17967106804477345,0.0029929565189623121,1.2830680891128757e-05,2.6859376203640657e-07,1.5921763781247305e-08,223.99999887437883,1.1256210265010425e-06,1908.9999723734495,2.7626552924036749e-05,2.7626552924036749e-05,3315.9999991537802,8.4622481998799424e-07,8.4622481998799424e-07,16.600000000000001
