model_time,CD95,FADD,DISC,p55free,DISCp55,p30,p43,p18,p18inactive,Bid,tBid,PrNES_mCherry,PrNES,mCherry,PrER_mGFP,PrER,mGFP,CD95L
0,12,90,0,127,0,0,0,0,0,224,0,1909,0,0,3316,0,0,16.600000000000001
0.25,12,89.910579189734392,0.088725977141381987,126.99930516687577,0.00069417142234157907,6.6169108886856571e-07,1.0798202469091665e-11,1.3676119519493717e-14,4.6472484514756869e-17,224,5.3425319073398985e-14,1908.9999999999989,1.3112383094194641e-12,1.3112383094194641e-12,3316,2.4699631515844577e-15,2.4699631515844577e-15,16.600000000000001
0.5,12,89.821371763061549,0.17586551339305795,126.99723727645377,0.0027574571872226853,5.2660164962933764e-06,3.4167288772990147e-10,8.63954039124355e-13,5.8811373542758758e-15,223.99999999999667,3.3900344650167253e-12,1908.9999999999168,8.3202929582417183e-11,8.3202929582417183e-11,3316,3.1257619871508427e-13,3.1257619871508427e-13,16.600000000000001
0.75,12,89.732375281240294,0.26144567466383578,126.99382095589434,0.0061613609859788882,1.7680544312152063e-05,2.565563929197303e-09,9.7138859724867147e-12,9.9348490913877658e-14,223.99999999996174,3.828535179981421e-11,1908.9999999990603,9.3965222557754375e-10,9.3965222557754375e-10,3315.9999999999959,5.2802666843620291e-12,5.2802666843620291e-12,16.600000000000001
1,12,89.64358734597208,0.34549310793959431,126.98908045385704,0.010877843261790988,4.1692136001540616e-05,1.0690535651360141e-08,5.3874952963363272e-11,7.3586743009489408e-13,223.99999999978678,2.1327988267974821e-10,1908.9999999947656,5.2346108109098863e-09,5.2346108109098863e-09,3315.9999999999618,3.9110571680504405e-11,3.9110571680504405e-11,16.600000000000001
1.25,12,89.55500559877089,0.42803404595060396,126.98303964451515,0.016879314790506413,8.100822685535474e-05,3.2261129280363047e-08,2.0286881115025223e-10,3.469308773420869e-12,223.99999999919339,8.066753414637672e-10,1908.9999999802017,1.9798545508629442e-08,1.9798545508629442e-08,3315.9999999998167,1.8439007342284367e-10,1.8439007342284367e-10,16.600000000000001
1.5,12,89.466627720340767,0.50909431187330145,126.97572203160379,0.024138630320569399,0.00013925808313960936,7.938219500327248e-08,5.9796813371709304e-10,1.2291112730061368e-11,223.99999999761184,2.3882466360763083e-09,1908.9999999413849,5.8615662682925818e-08,5.8615662682925818e-08,3315.9999999993483,6.532595761171146e-10,6.532595761171146e-10,16.600000000000001
1.75,12,89.378451429960307,0.58869932406159131,126.9671507524976,0.032629082272895862,0.00021999403647125556,1.6966873049986973e-07,1.4884738012069021e-09,3.5752351050669743e-11,223.99999999402897,5.9711373526425204e-09,1908.9999998534486,1.4655193797977049e-07,1.4655193797977049e-07,3315.999999998101,1.9001994534981203e-09,1.9001994534981203e-09,16.600000000000001
2,12,89.290474484874565,0.66687410080296516,126.95734858231337,0.042324394501435887,0.00032669269593375058,3.2712514531780645e-07,3.2740294785941204e-09,9.0020323468346938e-11,223.99999998680815,1.3191987969907213e-08,1908.9999996762242,3.2377607289196847e-07,3.2377607289196847e-07,3315.9999999952165,4.7844845004954735e-09,4.7844845004954735e-09,16.600000000000001
2.25,12,89.202694679694304,0.74364326509494993,126.94633793803384,0.053198716115079203,0.00046275613843136206,5.8295726352952111e-07,6.5523165907079358e-09,2.0300518112729806e-10,223.99999997348277,2.6517425613988933e-08,1908.9999993491726,6.5082745281509973e-07,6.5082745281509973e-07,3315.9999999892116,1.0789509581849876e-08,1.0789509581849876e-08,16.600000000000001
2.5,12,89.115109845802905,0.81903104943759963,126.93414088264922,0.065226615361477197,0.00063151307776716499,9.7632027096091772e-07,1.2171512909855359e-08,4.1967694844800941e-10,223.99999995052517,4.9475121806389732e-08,1908.9999987857134,1.2142870868611351e-06,1.2142870868611351e-06,3315.9999999776956,2.2305383692222208e-08,2.2305383692222208e-08,16.600000000000001
2.75,12,89.027717850770159,0.89306130063795086,126.92077912931244,0.078383073573278089,0.00083622001291593019,1.5550057081197022e-06,2.1286936443662328e-08,8.0867912774158599e-10,223.99999991309261,8.6907700336502536e-08,1908.999997866991,2.1330093670877348e-06,2.1330093670877348e-06,3315.9999999570218,4.2980436011119159e-08,4.2980436011119159e-08,16.600000000000001
3,12,88.940516597773822,0.96575748462255517,126.90627404550463,0.092643479177199214,0.0010800623559496271,2.3760705059576559e-06,3.542133310112377e-08,1.4703317773432002e-09,223.99999985475242,1.45247851085518e-07,1908.9999964351257,3.5648742935245109e-06,3.5648742935245109e-06,3315.9999999218558,7.8146570998273122e-08,7.8146570998273122e-08,16.600000000000001
3.25,12,88.853504025028315,1.037142691254392,126.89064665720825,0.10798362176629268,0.0013661555400600663,3.5064109589394952e-06,5.652830176534175e-08,2.54610451461882e-09,223.99999976718721,2.3281307732943538e-07,1908.9999942859781,5.7140215711310566e-06,5.7140215711310566e-06,3315.9999998646804,1.3532274843334577e-07,1.3532274843334577e-07,16.600000000000001
3.5,12,88.766678105221132,1.1072396391506489,126.87391765308371,0.1243796862356977,0.0016975461081103285,5.0232844287071824e-06,8.7058383957770591e-08,4.2296282715135279e-09,223.99999963988168,3.6011857374853332e-07,1908.9999911614698,8.8385296954479525e-06,8.8385296954479525e-06,3315.9999997752034,2.2480024651720128e-07,2.2480024651720128e-07,16.600000000000001
3.75,12,88.680036844956263,1.1760706804980305,126.85610738864756,0.14180824698211172,0.0020772127821340387,7.0147814720519264e-06,1.3002737728675363e-07,6.7793037850390208e-09,223.99999945979346,5.402068000682712e-07,1908.9999867414945,1.3258504805176426e-05,1.3258504805176426e-05,3315.99999963969,3.6031278973726069e-07,3.6031278973726069e-07,16.600000000000001
4,12,88.593578284205222,1.2436578058624286,126.83723589044857,0.16024626216715818,0.0025080675141892711,9.5802509890506996e-06,1.8908646237877785e-07,1.0532554702018132e-08,223.99999921100789,7.8899238095623951e-07,1908.9999806354533,1.9364545692340801e-05,1.9364545692340801e-05,3315.9999994402087,5.5979408623129956e-07,5.5979408623129956e-07,16.600000000000001
4.25,12,88.507300495765449,1.3100226489899571,126.81732286023974,0.17967106804477542,0.0029929565189619387,1.2830680891189423e-05,2.6859376204035174e-07,1.5921763781386513e-08,223.99999887437929,1.125621026510048e-06,1908.9999723734459,2.7626552924257696e-05,2.7626552924257696e-05,3315.9999991537779,8.4622481999539307e-07,8.4622481999539307e-07,16.600000000000001
4.5,12,88.421201584725623,1.3751864915964978,126.79638767914311,0.20006037335270235,0.003534661288501858,1.6889036695167138e-05,3.7368697903787254e-07,2.3491921954363163e-08,223.99999842715903,1.5728412294046102e-06,1908.9999613971474,3.860285154656338e-05,3.860285154656338e-05,3315.9999987514329,1.2485706796637073e-06,1.2485706796637073e-06,16.600000000000001
4.75,12,88.33527968793905,1.4391702681430845,126.77444941180522,0.22139225376808969,0.0041358995894634184,2.1890560355928321e-05,5.103567851582831e-07,3.392001191990418e-08,223.99999784261274,2.1573875545405932e-06,1908.999947050401,5.2949598303435479e-05,5.2949598303435479e-05,3315.9999981971928,1.8028125759897869e-06,1.8028125759897869e-06,16.600000000000001
