model_time,CD95,FADD,DISC,p55free,DISCp55,p30,p43,p18,p18inactive,Bid,tBid,PrNES_mCherry,PrNES,mCherry,PrER_mGFP,PrER,mGFP,CD95L
0,116,93,0,155,0,0,0,0,0,236,0,973,0,0,5178,0,0,16.600000000000001
0.25,116,91.876040356892148,1.1132933193093724,154.98933367619833,0.010656151182167437,1.0170067532591179e-05,2.5487599397418017e-09,3.2330554792304369e-12,1.1029130506706618e-14,235.99999999998673,1.3309658359653663e-11,972.99999999984209,1.5803174648190264e-10,1.5803174648190264e-10,5177.9999999999991,9.1534198440752929e-13,9.1534198440752929e-13,16.600000000000001
0.5,116,90.767215692073719,2.1905836850543063,154.95779937692407,0.042119904463601025,8.0638421570867864e-05,7.9986765526763908e-08,2.0264350527101638e-10,1.3821318733687469e-12,235.9999999991619,8.3812697410961384e-10,972.99999999004865,9.9514702716340133e-09,9.9514702716340133e-09,5177.9999999998872,1.1470744052878263e-10,1.1470744052878263e-10,16.600000000000001
0.75,116,89.673292931669906,3.2327938401712579,154.90608676955631,0.093642900811359994,0.00026973170057246294,5.9564684389091386e-07,2.2617680652484707e-09,2.3196537259223937e-11,235.99999999060151,9.3984999796628495e-09,972.99999988840739,1.1159274910789613e-07,1.1159274910789613e-07,5177.9999999980773,1.925153069258361e-09,1.925153069258361e-09,16.600000000000001
1,116,88.594043109520413,4.240832151314808,154.83487524821257,0.16448862364834987,0.00063365413124622102,2.4613851437768011e-06,1.2452012455686525e-08,1.7071230954495293e-10,235.99999994801425,5.198580639011507e-08,972.99999938274846,6.1725158921454862e-07,6.1725158921454862e-07,5177.9999999858337,1.4167947698727176e-08,1.4167947698727176e-08,16.600000000000001
1.25,116,87.529241296919238,5.2155921338834084,154.74483338346076,0.25393268491742954,0.0012265185967241831,7.3656831665970648e-06,4.6542281793111605e-08,7.9965703460304071e-10,235.9999998047781,1.9522195114634557e-07,972.99999768203941,2.3179607645523718e-06,2.3179607645523718e-06,5177.999999933636,6.6366034607098376e-08,6.6366034607098376e-08,16.600000000000001
1.5,116,86.47866653258302,6.1579520432270884,154.63661843682752,0.36126307489111109,0.0021003774636330591,1.7971835100367382e-05,1.3616794410224679e-07,2.8147275037274172e-09,235.99999942615841,5.738416295104384e-07,972.99999318651248,6.8134877889247129e-06,6.8134877889247129e-06,5177.999999766399,2.3360302584174337e-07,2.3360302584174337e-07,16.600000000000001
1.75,116,85.442101752935045,7.0687745281290013,154.51087593650362,0.48578037734217194,0.0033052532054612446,3.8088388265141214e-05,3.364261354166147e-07,8.134381060136503e-09,235.99999857556364,1.4244363983316693e-06,972.9999830870064,1.6912993889157186e-05,1.6912993889157186e-05,5177.9999993249039,6.7509768757376104e-07,6.7509768757376104e-07,16.600000000000001
2,116,84.419333722786263,7.9489063427337037,154.36823931070433,0.62679795164345331,0.0048891688531025957,7.2813983419730654e-05,7.344674367115955e-07,2.0348258888265807e-08,235.9999968756367,3.1243633591065714e-06,972.99996290298554,3.7097014723997602e-05,3.7097014723997602e-05,5177.9999983112357,1.6887655518864171e-06,1.6887655518864171e-06,16.600000000000001
2.25,116,83.410152966488198,8.7991781131889439,154.20932957521271,0.78364208332451613,0.0068981782969441425,0.00012865870133809288,1.4588761016850853e-06,4.5588400155205751e-08,235.99999376491945,6.2350806011084084e-06,972.99992596799848,7.4032001855591729e-05,7.4032001855591729e-05,5177.9999962164784,3.7835236987548161e-06,3.7835236987548161e-06,16.600000000000001
2.5,116,82.414353699626446,9.6204041553739845,154.03475507171734,0.95565210457628236,0.0093763964584259313,0.00021364396480195096,2.6896524176210957e-06,9.3630712690389213e-08,235.99998845076965,1.1549230401763256e-05,972.99986287063768,0.00013712936257558546,0.00013712936257558546,5177.9999922292973,7.7707052463552369e-06,7.7707052463552369e-06,16.600000000000001
2.75,116,81.431733761317631,10.413382340203098,153.84511125365066,1.1421804861618519,0.012366029342803751,0.00033738297455860705,4.6686311008971005e-06,1.7923899023638794e-07,235.99997985915161,2.0140848443043544e-05,972.999760858385,0.00023914161534038705,0.00023914161534038705,5177.9999851243983,1.4875603536537738e-05,1.4875603536537738e-05,16.600000000000001
3,116,80.462094547167084,11.178894003116243,153.64098051633439,1.3425929021611147,0.015907403978943795,0.00051114357656160763,7.7101889029377062e-06,3.2376005003009826e-07,235.99996658186714,3.3418132899134898e-05,972.99960321106255,0.00039678893782211887,0.00039678893782211887,5177.999973130145,2.6869857575562585e-05,2.6869857575562585e-05,16.600000000000001
3.25,116,79.505240942939196,11.917703894498073,153.42293206834927,1.5562682689478715,0.020038998246455129,0.00074789536835398842,1.2212112714919949e-05,5.5697529815822691e-07,235.99994682173929,5.3178260729091635e-05,972.99936858998137,0.00063141001901503564,0.00063141001901503564,5177.9999537748836,4.6225119205584265e-05,4.6225119205584265e-05,16.600000000000001
3.5,116,78.560981258987184,12.630560167899878,153.19152184115953,1.7825987597702151,0.024797470585360758,0.0010623427573038435,1.8666516404931417e-05,9.1921117174011706e-07,235.99991833621036,8.1663789665247655e-05,972.99903036826697,0.00096963173350188086,0.00096963173350188086,5177.9999237117972,7.6288205250661436e-05,7.6288205250661436e-05,16.600000000000001
3.75,116,77.629127165484192,13.318194403075395,152.94729243414082,2.0209897962773811,0.030217689578868979,0.0014709455841127774,2.7670710341183502e-05,1.4637084456186848e-06,235.99987837976707,0.00012162023297191431,972.99855594726853,0.0014440527318414804,0.0014440527318414804,5177.9998785222679,0.00012147773359612581,0.00012147773359612581,16.600000000000001
4,116,76.70949362849295,13.98132166097912,152.69077309228174,2.2708600183086989,0.036332763395644868,0.0019919288235393622,3.9937942077787736e-05,2.2592482860324133e-06,235.99982364556004,0.00017635443996927104,972.99790606341537,0.002093936584980899,0.002093936584980899,5177.9998124979347,0.00018750206743010811,0.00018750206743010811,16.600000000000001
4.25,116,75.801898846907079,14.620640568014224,152.42247971395014,2.5316412332322602,0.04317406907430768,0.0026452827720905023,5.6307940020232703e-05,3.3930311552559073e-06,235.99975020654153,0.00024979345848962344,972.99703408936875,0.0029659106315751606,0.0029659106315751606,5177.9997184017575,0.00028159824425579445,0.00028159824425579445,16.600000000000001
4.5,116,74.906164190292643,15.236833426954801,152.14291488624019,2.8027783460922491,0.050771281629698871,0.0034527550305808907,7.7757204051731384e-05,4.9738032006485785e-06,235.99965345640422,0.00034654359578664478,972.99588533284611,0.0041146671542332822,0.0041146671542332822,5177.9995872085574,0.00041279144421160416,0.00041279144421160416,16.600000000000001
