model_time,CD95,FADD,DISC,p55free,DISCp55,p30,p43,p18,p18inactive,Bid,tBid,PrNES_mCherry,PrNES,mCherry,PrER_mGFP,PrER,mGFP,CD95L
0,12,90,0,127,0,0,0,0,0,224,0,1909,0,0,3316,0,0,16.600000000000001
0.25,12,89.910579189734349,0.088725977141604809,126.99930516687596,0.00069417142195648217,6.6169118120963455e-07,1.0908727594196901e-11,1.4440496175719005e-14,5.4696143280185461e-17,223.99999999999994,5.6651937293387823e-14,1908.9999999999986,1.3904304507730342e-12,1.3904304507730342e-12,3316,2.9070418731958057e-15,2.9070418731958057e-15,16.600000000000001
0.5,12,89.821371763061549,0.17586551339290674,126.99723727645362,0.0027574571874064016,5.266016469138381e-06,3.4165168750777046e-10,8.6717141593358637e-13,5.9969770625994919e-15,223.99999999999659,3.4043467206463589e-12,1908.9999999999168,8.3554200818626123e-11,8.3554200818626123e-11,3315.9999999999995,3.187329560745658e-13,3.187329560745658e-13,16.600000000000001
0.75,12,89.732375281240309,0.26144567466369811,126.99382095589424,0.0061613609861784118,1.7680544278117612e-05,2.5655180966368249e-09,9.7194057439247906e-12,9.970749311521498e-14,223.99999999996172,3.8309323031898487e-11,1908.99999999906,9.4024056081592503e-10,9.4024056081592503e-10,3315.999999999995,5.2993472697428068e-12,5.2993472697428068e-12,16.600000000000001
1,12,89.643587345972108,0.34549310793947918,126.98908045385697,0.010877843262022645,4.1692135954383676e-05,1.0690444220892041e-08,5.3884514833887264e-11,7.3677308155804608e-13,223.9999999997867,2.1332115593661384e-10,1908.9999999947647,5.2356237964472722e-09,5.2356237964472722e-09,3315.9999999999613,3.9158706093061024e-11,3.9158706093061024e-11,16.600000000000001
1.25,12,89.555005598770919,0.42803404595046546,126.98303964451505,0.016879314790701934,8.1008226822948669e-05,3.226108702388415e-08,2.0287284620649212e-10,3.4702145873006861e-12,223.99999999919331,8.0669399244415671e-10,1908.999999980201,1.979900326686827e-08,1.979900326686827e-08,3315.9999999998158,1.8443821646767323e-10,1.8443821646767323e-10,16.600000000000001
1.5,12,89.466627720340796,0.5090943118731609,126.97572203160372,0.024138630320759542,0.00013925808310926216,7.9382158848978602e-08,5.9797117036769346e-10,1.229215625984869e-11,223.99999999761175,2.3882613741676332e-09,1908.9999999413842,5.8616024405610873e-08,5.8616024405610873e-08,3315.9999999993474,6.5331503861603513e-10,6.5331503861603513e-10,16.600000000000001
1.75,12,89.378451429960322,0.58869932406145009,126.96715075249756,0.032629082273083559,0.00021999403644182335,1.6966869675645822e-07,1.4884762187245296e-09,3.5753551306270427e-11,223.99999999402885,5.9711498554771574e-09,1908.9999998534479,1.4655224484168117e-07,1.4655224484168117e-07,3315.999999998101,1.9002632458074194e-09,1.9002632458074194e-09,16.600000000000001
2,12,89.290474484874537,0.66687410080280762,126.9573485823133,0.042324394501623119,0.00032669269590699214,3.2712512561984255e-07,3.2740290772542816e-09,9.0022092212801566e-11,223.99999998680801,1.3191991786915836e-08,1908.9999996762242,3.2377616657423452e-07,3.2377616657423452e-07,3315.9999999952161,4.784578507383022e-09,4.784578507383022e-09,16.600000000000001
2.25,12,89.202694679694289,0.74364326509472611,126.94633793803371,0.053198716115271744,0.00046275613841315934,5.8295729646058725e-07,6.5523063196613202e-09,2.0300873127343673e-10,223.99999997348263,2.6517400123209208e-08,1908.9999993491733,6.5082682718472475e-07,6.5082682718472475e-07,3315.9999999892107,1.078969826834314e-08,1.078969826834314e-08,16.600000000000001
2.5,12,89.115109845802905,0.81903104943738736,126.93414088264912,0.065226615361662119,0.00063151307774914707,9.7632030040388863e-07,1.2171504487220618e-08,4.1967962587716815e-10,223.99999995052491,4.9475099955774071e-08,1908.9999987857136,1.2142865505723233e-06,1.2142865505723233e-06,3315.9999999776946,2.2305525994735319e-08,2.2305525994735319e-08,16.600000000000001
