time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,0,0,1.1363371054780858e-17,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,0,0,1.1355313785924151e-17,8.0572688567079012e-21,0,0,0,0.99024504482161735,1,0.75243873879459566,1.5407439555097887e-33
120,1.1363371054780858e-17,0,0,0,1.1355305451446463e-17,8.0656033343931023e-21,0,0,0,0.99126935906205327,0.75243873879459566,0.75218266023448666,1.5407439555097887e-33
180,1.1363371054780858e-17,0,0,0,1.1355305442819177e-17,8.0656119616807523e-21,0,0,0,0.99127041936288185,0.75218266023448666,0.75218239515927954,1.5407439555097887e-33
240,1.1363371054780858e-17,0,0,0,1.1355305442810242e-17,8.0656119706111465e-21,0,0,0,0.99127042046043479,0.75218239515927954,0.75218239488489136,4.622231866529366e-33
300,1.1363371054780858e-17,0,0,0,1.1355305442810242e-17,8.0656119706203864e-21,0,0,0,0.99127042046157043,0.75218239488489136,0.75218239488460736,4.622231866529366e-33
360,1.1363371054780858e-17,0,0,0,1.1355305442810242e-17,8.0656119706203864e-21,0,0,0,0.99127042046157043,0.75218239488460736,0.75218239488460736,4.622231866529366e-33
420,1.1363371054780858e-17,0,0,0,1.1355305442810242e-17,8.0656119706203864e-21,0,0,0,0.99127042046157043,0.75218239488460736,0.75218239488460736,4.622231866529366e-33
480,1.1363371054780858e-17,0,0,0,1.1355305442810242e-17,8.0656119706203864e-21,0,0,0,0.99127042046157043,0.75218239488460736,0.75218239488460736,4.622231866529366e-33
540,1.1363371054780858e-17,0,0,0,1.1355305442810242e-17,8.0656119706203864e-21,0,0,0,0.99127042046157043,0.75218239488460736,0.75218239488460736,4.622231866529366e-33
600,1.1363371054780858e-17,0,0,0,1.1355305442810242e-17,8.0656119706203864e-21,0,0,0,0.99127042046157043,0.75218239488460736,0.75218239488460736,4.622231866529366e-33
