time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599542131e-17,6.4762086935884781e-19,9.8608592486698725e-21,0,0,1.9902392343323993e-24,1.3228736391977025e-20,0,1,1,1.5407439555097887e-33
120,1.1363371054780858e-17,0,1.0068916505702929e-17,1.2307161896062671e-18,3.8041698757611209e-20,0,0,1.5495809308275837e-23,2.568116490474376e-20,0,1,1,1.5407439555097887e-33
180,1.1363371054780858e-17,0,9.4886375394821893e-18,1.754696377845087e-18,8.2574710183744759e-20,0,0,5.0909591870624359e-23,3.7411517677968642e-20,0,1,1,1.5407439555097887e-33
240,1.1363371054780858e-17,0,8.9485830800834898e-18,2.2245402380560531e-18,1.4166026020222302e-19,0,0,1.1749493890936602e-22,4.8469981500185541e-20,0,1,1,3.0814879110195774e-33
300,1.1363371054780858e-17,0,8.4457623512037009e-18,2.6448288215001621e-18,2.136533920884318e-19,0,0,2.234824729982021e-22,5.8903007515563136e-20,0,1,1,1.5407439555097887e-33
360,1.1363371054780858e-17,0,7.9774132638682646e-18,3.0197766463079319e-18,2.9705138850518357e-19,0,0,3.7615911116477091e-22,6.8753596988309572e-20,0,1,1,4.622231866529366e-33
420,1.1363371054780858e-17,0,7.5409847454217929e-18,3.353260481784646e-18,3.9048231266830473e-19,0,0,5.8194992392006132e-22,7.8061564982188807e-20,0,1,1,6.1629758220391547e-33
480,1.1363371054780858e-17,0,7.1341204392307639e-18,3.6488458869767081e-18,4.9269445151179266e-19,0,0,8.464933932529186e-22,8.6863783668335735e-20,0,1,1,3.0814879110195774e-33
540,1.1363371054780858e-17,0,6.7546436686267282e-18,3.9098116783030961e-18,6.0254659042017902e-19,0,0,1.1747105893742525e-21,9.5194406841479404e-20,0,1,1,1.5407439555097887e-33
600,1.1363371054780858e-17,0,6.4005435668929838e-18,4.13917248746082e-18,7.1899905457969839e-19,0,0,1.5708687454035426e-21,1.0308507710195162e-19,0,1,1,1.5407439555097887e-33
