time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
120,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
180,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
240,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
300,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
360,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
420,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
480,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
540,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
600,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
