time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599479299e-17,6.476208431119451e-19,9.843380504519424e-21,1.7326339883546711e-23,1.8085773521297746e-25,1.9880955129452796e-24,1.3228736391964371e-20,0.0021294215843738837,1,1,1.5407439555097887e-33
120,1.1363371054780858e-17,0,1.0068916503789861e-17,1.2307157894879956e-18,3.7908945768531307e-20,1.3042715283606077e-22,2.7531010734243299e-24,1.5470576589425765e-23,2.5681164903967339e-20,0.016029605577648799,1,1,4.622231866529366e-33
180,1.1363371054780858e-17,0,9.4886375257135744e-18,1.7546944597454483e-18,8.2153861719760546e-20,4.0968709825889155e-22,1.3177702478879777e-23,5.0825131823295096e-23,3.741151766951142e-20,0.050350885168795829,1,1,1.5407439555097887e-33
240,1.1363371054780858e-17,0,8.9485830253940081e-18,2.2245345462971766e-18,1.4073677012446749e-19,8.9033607596403511e-22,3.9039300055005116e-23,1.1735613427532105e-22,4.846998145491025e-20,0.10942304435023412,1,0.97264423891244145,3.0814879110195774e-33
300,1.1363371054780858e-17,0,8.4457734518123638e-18,2.6467722755769418e-18,2.1004905827145929e-19,1.562034598772252e-21,8.8366063958633757e-23,2.2285663140239711e-22,5.8903011825959885e-20,0.19197535154686987,0.97264423891244145,0.95200616211328248,0
360,1.1363371054780858e-17,0,7.9774688690522319e-18,3.0256126719313087e-18,2.8862139496951573e-19,2.3730700738251274e-21,1.6773245002166625e-22,3.7367938220141238e-22,6.8753636921755927e-20,0.29165228607996957,0.95200616211328248,0.92708692848000762,4.622231866529366e-33
420,1.1363371054780858e-17,0,7.5411430703151612e-18,3.3656454548529844e-18,3.7441725176580655e-19,3.2474008080038301e-21,2.8094559989525191e-22,5.752053975508644e-22,7.8061726041461352e-20,0.39910826061095506,0.92708692848000762,0.90022293484726124,4.622231866529366e-33
480,1.1363371054780858e-17,0,7.1344701431057184e-18,3.6709346709315923e-18,4.6573820890972483e-19,4.1036201825952299e-21,4.284472424091046e-22,8.317253396412809e-22,8.6864239069178148e-20,0.50433833398296679,0.90022293484726124,0.8739154165042583,1.5407439555097887e-33
540,1.1363371054780858e-17,0,6.7553059842357202e-18,3.9449396443382316e-18,5.6130065905827575e-19,4.8751190810504098e-21,6.0757221584755578e-22,1.1466201339327652e-21,9.5195455717803999e-20,0.59915619036423295,0.8739154165042583,0.85021095240894173,4.622231866529366e-33
