time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0693941640073079e-17,6.4765957936652305e-19,9.8453575500460586e-21,1.5755149338592385e-23,1.6444527175404425e-25,1.9883493404290967e-24,1.1906569847262511e-20,0.0019363209594249844,1,1,1.5407439555097887e-33
120,1.1363371054780858e-17,0,1.0071332152503377e-17,1.2308625692044586e-18,3.7923894253002047e-20,1.1869490595156466e-22,2.5045003500714475e-24,1.5473769724942359e-23,2.3115765643996052e-20,0.014587702676230288,1,1,3.0814879110195774e-33
180,1.1363371054780858e-17,0,9.4920502621956869e-18,1.7550074389734574e-18,8.220076358149375e-20,3.7351022359179262e-22,1.2000668340853957e-23,5.0837110584798277e-23,3.3676242027703739e-20,0.045904717178956077,1,1,0
240,1.1363371054780858e-17,0,8.9528708437255698e-18,2.2250620564359187e-18,1.4083784793108273e-19,8.1427882864230216e-22,3.5618170739328951e-23,1.1738154516168619e-22,4.3633028143742958e-20,0.10007554538718087,1,0.97498111365320483,0
300,1.1363371054780858e-17,0,8.4508256313210035e-18,2.6473872794865525e-18,2.1039096100993928e-19,1.4355869729813013e-21,8.0847525597132306e-23,2.2293985212656118e-22,5.3027808612657586e-20,0.17643483315338188,0.97498111365320483,0.95589129171165454,0
360,1.1363371054780858e-17,0,7.9831839925848948e-18,3.0261989966172584e-18,2.8936561378096827e-19,2.1952701648671322e-21,1.5404480777915441e-22,3.7394255095083909e-22,6.1899194274139774e-20,0.26980052936853627,0.95589129171165454,0.93254986765786596,0
420,1.1363371054780858e-17,0,7.5474280468225854e-18,3.3660542336219289e-18,3.7574298854477337e-19,3.0277536974492292e-21,2.5922414276832145e-22,5.7584538001219437e-22,7.0282962571341398e-20,0.37211344801325941,0.93254986765786596,0.90697163799668512,0
480,1.1363371054780858e-17,0,7.1412392779156072e-18,3.6710229359363304e-18,4.6780660938309974e-19,3.8595108582494229e-21,3.9742062141850352e-22,8.3301915111053647e-22,7.8212280915042921e-20,0.47433709496176391,0.90697163799668512,0.881415726259559,1.5407439555097887e-33
540,1.1363371054780858e-17,0,6.7624805763006346e-18,3.9446087316387699e-18,5.6422149220135696e-19,4.6266515222211821e-21,5.6677690892766852e-22,1.1489139220546739e-21,8.5717912286890739e-20,0.56861932069967802,0.881415726259559,0.85784516982508052,3.0814879110195774e-33
600,1.1363371054780858e-17,0,6.4091788815531807e-18,4.1897475682256839e-18,6.6403984710971992e-19,5.286850282575916e-21,7.6325179103635711e-22,1.5262541271600631e-21,9.2828401691499055e-20,0.64975829752485592,0.85784516982508052,0.83756042561878608,3.0814879110195774e-33
660,1.1363371054780858e-17,0,6.0795092725219823e-18,4.4088797029073844e-18,7.6664018528250502e-19,5.8227832418669184e-21,9.8163699189301403e-22,1.9672292622550746e-21,9.9570244572968103e-20,0.71562490403044299,0.83756042561878608,0.82109377399238925,4.622231866529366e-33
720,1.1363371054780858e-17,0,5.7717810936518915e-18,4.6040644260260605e-18,8.7162911603892249e-19,6.2381890339797661e-21,1.2165400029023057e-21,2.4736509137508574e-21,1.0596803911334689e-19,0.76667862143090959,0.82109377399238925,0.8083303446422726,3.0814879110195774e-33
780,1.1363371054780858e-17,0,5.4844262702787617e-18,4.7770995820925559e-18,9.7874035512970561e-19,6.5500624044087907e-21,1.4630982012467855e-21,3.0470619377413588e-21,1.1204462473643347e-19,0.8050081180843629,0.8083303446422726,0.79874797047890933,4.622231866529366e-33
840,1.1363371054780858e-17,0,5.2159895709746041e-18,4.9296175755204096e-18,1.087755914558693e-18,6.7806383186755868e-21,1.7173471053968714e-21,3.6887992234668643e-21,1.1782120907960675e-19,0.83334608974926772,0.79874797047890933,0.79166347756268307,4.622231866529366e-33
900,1.1363371054780858e-17,0,4.9651203589992451e-18,5.0631464012314708e-18,1.1984590114696988e-18,6.9514836582421484e-21,1.9762924617410034e-21,4.4000216613844498e-21,1.2331748529906864e-19,0.85434312409742752,0.79166347756268307,0.78641421897564312,7.7037197775489434e-33
960,1.1363371054780858e-17,0,4.7305653543520363e-18,5.1791387229135637e-18,1.3106153596687989e-18,7.0803631001258837e-21,2.237795731692381e-21,5.1817179621907597e-21,1.2855174105243846e-19,0.87018251471159269,0.78641421897564312,0.78245437132210183,9.2444637330587321e-33
1020,1.1363371054780858e-17,0,4.5111620356269094e-18,5.2789794322784231e-18,1.4239731466809379e-18,7.1803912740481101e-21,2.5003822497501708e-21,6.0347066341659062e-21,1.3354096003661136e-19,0.88247606049374394,0.78245437132210183,0.77938098487656404,1.3866695599588098e-32
1080,1.1363371054780858e-17,0,4.3058324587115589e-18,5.3639828035243854e-18,1.5382716495131018e-18,7.2605421911492822e-21,2.7630483871157242e-21,6.9596358152970359e-21,1.3830091663824101e-19,0.89232667487795514,0.77938098487656404,0.77691833128051124,1.0785207688568521e-32
1140,1.1363371054780858e-17,0,4.1135773938379247e-18,5.435387246192549e-18,1.653251383823264e-18,7.326675199501386e-21,3.025105342545315e-21,7.956986300398018e-21,1.4284626408466811e-19,0.90045447661629441,0.77691833128051124,0.77488638084592643,7.7037197775489434e-33
1200,1.1363371054780858e-17,0,3.9334707585444297e-18,5.4943517579606279e-18,1.7686622255750564e-18,7.3825498087888989e-21,3.2860682591026969e-21,9.0270782103970982e-21,1.4719061642244512e-19,0.90732151257628224,0.77488638084592643,0.77316962185592941,1.0785207688568521e-32
