time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0629088249785877e-17,7.1026542194894203e-19,1.0808026335386205e-20,1.7302610322796456e-23,1.8065961042206537e-25,2.1838717535696777e-24,1.318968956896737e-20,0.0021265052016185568,1,1,1.5407439555097887e-33
120,1.1363371054780858e-17,0,9.9503258152861881e-18,1.3458138131647179e-18,4.1549620235261148e-20,1.3007414202181293e-22,2.7471307535589451e-24,1.697012669298016e-23,2.5532014695224342e-20,0.015986220254930374,1,1,4.622231866529366e-33
180,1.1363371054780858e-17,0,9.3226476809810704e-18,1.9132704495157711e-18,8.9885154987426761e-20,4.0806119354566415e-22,1.3135584969257765e-23,5.5672092963491597e-23,3.7090900425107892e-20,0.050151060127052914,1,1,4.622231866529366e-33
240,1.1363371054780858e-17,0,8.7419796406525036e-18,2.4187002947391631e-18,1.5371291174351037e-19,8.8579910282051084e-22,3.8877474890731728e-23,1.2836232520073198e-22,4.7925168742762658e-20,0.10886544657687407,1,0.97278363835578152,6.1629758220391547e-33
300,1.1363371054780858e-17,0,8.2045917512679869e-18,2.8697680647648915e-18,2.2903827421965841e-19,1.5526700115922048e-21,8.7926726316543079e-23,2.4340825550367396e-22,5.8088959534901867e-20,0.19082443599263446,0.97278363835578152,0.95229389100184136,9.2444637330587321e-33
360,1.1363371054780858e-17,0,7.7070705058075364e-18,3.2715299303612096e-18,3.14206755781612e-19,2.3573801498598142e-21,1.667874593218592e-22,4.0756334473913869e-22,6.7632131876571042e-20,0.28972398137317745,0.95229389100184136,0.92756900465670566,9.2444637330587321e-33
420,1.1363371054780858e-17,0,7.2462848023857974e-18,3.6293875991050971e-18,4.0696738682849951e-19,3.2249296314805351e-21,2.7922805727938449e-22,6.2648921296163675e-22,7.6600619559729184e-20,0.396346534323892,0.92756900465670566,0.90091336641902697,1.3866695599588098e-32
480,1.1363371054780858e-17,0,6.8193660151057532e-18,3.9481132941980075e-18,5.0544941935288279e-19,4.0752238848936274e-21,4.2570218237008879e-22,9.0464099824279726e-22,8.5036759058693886e-20,0.50084840537435638,0.90091336641902697,0.87478789865641093,1.3866695599588098e-32
540,1.1363371054780858e-17,0,6.4236831882311812e-18,4.2317764325429324e-18,6.0824005631513874e-19,4.8427070591909399e-21,6.0360677881363156e-22,1.2454743145053202e-21,9.2979589539081362e-20,0.59517272591619363,0.87478789865641093,0.85120681852095159,1.3866695599588098e-32
600,1.1363371054780858e-17,0,6.0568195681274935e-18,4.4837681752952833e-18,7.1437022945718353e-19,5.4880809507249425e-21,8.0819773504378073e-22,1.6516794211522477e-21,1.0046512379396551e-19,0.67448971403143321,0.85120681852095159,0.83137757149214164,1.2325951644078309e-32
660,1.1363371054780858e-17,0,5.7165514367273872e-18,4.7069088610792798e-18,8.2322521004100213e-19,5.9997927659024676e-21,1.0337628607556015e-21,2.1253989912093046e-21,1.0752659231531026e-19,0.73737952177743649,0.83137757149214164,0.81565511955564085,1.0785207688568521e-32
720,1.1363371054780858e-17,0,5.4008298028630217e-18,4.9035946789222424e-18,9.3442116426603333e-19,6.3876830464051633e-21,1.2746644055649612e-21,2.6683976251581113e-21,1.1419466365242096e-19,0.78505155991260211,0.81565511955564085,0.80373711002184944,1.0785207688568521e-32
780,1.1363371054780858e-17,0,5.107764948166362e-18,5.0759373406539809e-18,1.0476895036393055e-18,6.6734224931007918e-21,1.5260235495117325e-21,3.2821717382526922e-21,1.2049764454033348e-19,0.82016917560006319,0.80373711002184944,0.79495770609998417,1.2325951644078309e-32
840,1.1363371054780858e-17,0,4.8356133864894711e-18,5.2258674139028439e-18,1.162794738934577e-18,6.8818360636175554e-21,1.784009558568194e-21,3.9680068405441178e-21,1.2646166299122733e-19,0.84578337678263737,0.79495770609998417,0.78855415580434063,7.7037197775489434e-33
900,1.1363371054780858e-17,0,4.582766613662885e-18,5.3551940056031739e-18,1.2794915345062966e-18,7.0352383096738598e-21,2.0458267344177036e-21,4.7269990886476939e-21,1.3211083687575425e-19,0.86463664042858068,0.78855415580434063,0.7838408398928548,1.0785207688568521e-32
960,1.1363371054780858e-17,0,4.3477410737170775e-18,5.4656293054716947e-18,1.3975126787821444e-18,7.150971652520694e-21,2.3095364852298466e-21,5.5600588878891958e-21,1.3746742978429114e-19,0.8788603645357026,0.7838408398928548,0.78028490886607438,1.0785207688568521e-32
1020,1.1363371054780858e-17,0,4.1291689391325326e-18,5.5587924054563531e-18,1.5165747381014109e-18,7.2412352261170662e-21,2.573831809650135e-21,6.4679096883742273e-21,1.4255199536640938e-19,0.88995383281525298,0.78028490886607438,0.77751154179618676,1.2325951644078309e-32
