time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599485005e-17,6.4762084549436936e-19,9.8449660002597507e-21,1.5754677841468835e-23,1.6448698645772865e-25,1.9882444330016016e-24,1.3228736391965517e-20,0.0019362630120362916,1,1,0
120,1.1363371054780858e-17,0,1.0068916503963032e-17,1.2307158256355442e-18,3.792089518455325e-20,1.1868785875062259e-22,2.5057814328421437e-24,1.5471453514058934e-23,2.5681164904037699e-20,0.014586836569372387,1,1,7.7037197775489434e-33
180,1.1363371054780858e-17,0,9.4886375269512201e-18,1.7546946311974948e-18,8.2191068943726793e-20,3.7347756641278823e-22,1.2009979178506108e-23,5.0822472554884158e-23,3.7411517670274137e-20,0.045900703584490998,1,1,4.622231866529366e-33
240,1.1363371054780858e-17,0,8.9485830302505502e-18,2.2245350455971216e-18,1.4081582775853155e-19,8.1418696696133296e-22,3.5655576857510388e-23,1.1732717188207762e-22,4.8469981458959626e-20,0.10006425551017584,1,0.97498393612245604,6.1629758220391547e-33
300,1.1363371054780858e-17,0,8.4457725024158654e-18,2.6466059907215224e-18,2.1035040867200854e-19,1.4353952453606755e-21,8.0955825782646645e-23,2.2279044264131418e-22,5.8903011457685728e-20,0.17641126966932091,0.97498393612245604,0.95589718258266976,7.7037197775489434e-33
360,1.1363371054780858e-17,0,7.9774642131352205e-18,3.0251307555197166e-18,2.8929960410099198e-19,2.1949444194680637e-21,1.5429890429315603e-22,3.7360515467157311e-22,6.8753633546504875e-20,0.26976049498802374,0.95589718258266976,0.93255987625299408,9.2444637330587321e-33
420,1.1363371054780858e-17,0,7.5411302264871642e-18,3.3646724914455779e-18,3.7564442393963841e-19,3.0272794836104165e-21,2.5973840791087711e-22,5.7518231129422404e-22,7.8061712705668901e-20,0.37205516673800082,0.93255987625299408,0.90698620831549981,7.7037197775489434e-33
480,1.1363371054780858e-17,0,7.1344429155015264e-18,3.669306431403896e-18,4.6766840708862558e-19,3.8589005602466571e-21,3.9835289137323785e-22,8.3184494620778522e-22,8.6864202388990591e-20,0.47426208882955567,0.90698620831549981,0.88143447779261108,7.7037197775489434e-33
540,1.1363371054780858e-17,0,6.7552569175252479e-18,3.9425408820094685e-18,5.6403661505794063e-19,4.625941211326164e-21,5.6832840337168513e-22,1.1469965213628044e-21,9.5195374052147104e-20,0.56853202289981764,0.88143447779261108,0.85786699427504565,4.622231866529366e-33
600,1.1363371054780858e-17,0,6.4015916997178207e-18,4.1873160290238828e-18,6.638012297335991e-19,5.2860882431034786e-21,7.6566318136454306e-22,1.5233195772311211e-21,1.0308702530386077e-19,0.64966464223980092,0.85786699427504565,0.83758383944004977,4.622231866529366e-33
660,1.1363371054780858e-17,0,6.0716155800555601e-18,4.4060760065890202e-18,7.6634063383094868e-19,5.8220160885889167e-21,9.8518166236251895e-22,1.962968624397349e-21,1.1056866792998564e-19,0.71553062025443026,0.83758383944004977,0.82111734493639243,6.1629758220391547e-33
720,1.1363371054780858e-17,0,5.7636317908373656e-18,4.6008836239704553e-18,8.7126124677510136e-19,6.2374513510741402e-21,1.2215159753121944e-21,2.4677279419292867e-21,1.1766769792962901e-19,0.76658795958817649,0.82111734493639243,0.8083530101029559,1.0785207688568521e-32
780,1.1363371054780858e-17,0,5.4760667362091654e-18,4.7735398554132228e-18,9.7829659971219252e-19,6.5493727954472629e-21,1.4698201382185515e-21,3.0391203610032737e-21,1.2440955015161593e-19,0.80492336456934899,0.8083530101029559,0.79876915885766275,6.1629758220391547e-33
840,1.1363371054780858e-17,0,5.2074602010789974e-18,4.9256798208724418e-18,1.087228583234045e-18,6.7800012193926005e-21,1.72613939410578e-21,3.6784689309052856e-21,1.3081784005097807e-19,0.8332677897174261,0.79876915885766275,0.79168305257064353,7.7037197775489434e-33
900,1.1363371054780858e-17,0,4.9564570532206257e-18,5.0588338194278105e-18,1.1978403858841701e-18,6.9508942245860649e-21,1.9874838408889063e-21,4.38692353965498e-21,1.3691449464312932e-19,0.85427068221078228,0.79168305257064353,0.78643232944730446,7.7037197775489434e-33
960,1.1363371054780858e-17,0,4.7217999599994833e-18,5.174456438498012e-18,1.3098977868253068e-18,7.0798123803912412e-21,2.2517154664254944e-21,5.1654674573917536e-21,1.427198741538543e-19,0.87011483079809626,0.78643232944730446,0.78247129230047596,6.1629758220391547e-33
1020,1.1363371054780858e-17,0,4.5023227488494013e-18,5.2739341602306966e-18,1.423149116526837e-18,7.1798699684695793e-21,2.5173575863271485e-21,6.0149162737781066e-21,1.4825288534535782e-19,0.88241199160450134,0.78247129230047596,0.77939700209887464,1.0785207688568521e-32
1080,1.1363371054780858e-17,0,4.2969441883563098e-18,5.3585825658052377e-18,1.5373338509999789e-18,7.2600425818147302e-21,2.7834029307806648e-21,6.9359169644434299e-21,1.5353108714230264e-19,0.89226527247514531,0.77939700209887464,0.7769336818812137,9.2444637330587321e-33
1140,1.1363371054780858e-17,0,4.1046620911721957e-18,5.4296411322522188e-18,1.6521927422771348e-18,7.326191656367141e-21,3.0491580368680431e-21,7.9289503929815735e-21,1.5857078899310216e-19,0.9003950487628668,0.7769336818812137,0.77490123780928333,1.0785207688568521e-32
1200,1.1363371054780858e-17,0,3.9245477159934409e-18,5.4882697206021508e-18,1.7674759269603739e-18,7.3820785240800841e-21,3.3141327312537317e-21,8.9943376356223355e-21,1.6338714233394676e-19,0.90726359129353695,0.77490123780928333,0.77318410217661571,9.2444637330587321e-33
1260,1.1363371054780858e-17,0,3.7557404775561017e-18,5.5355479179346621e-18,1.8829480711834549e-18,7.4301451816055929e-21,3.5779682408151785e-21,1.0132249165756432e-20,1.6799422551847428e-19,0.9131710234870335,0.77318410217661571,0.77170724412824165,1.2325951644078309e-32
1320,1.1363371054780858e-17,0,3.5974429774459055e-18,5.5724768527094322e-18,1.9983909594298865e-18,7.4720341226014442e-21,3.8403928267921146e-21,1.1342715655334143e-20,1.7240512259091805e-19,0.9183192091801835,0.77170724412824165,0.77042019770495407,1.2325951644078309e-32
1380,1.1363371054780858e-17,0,3.4489163604700535e-18,5.5999826257129466e-18,2.113604334198873e-18,7.5089038353522265e-21,4.1011948943305832e-21,1.2625639377695004e-20,1.7663199629161748e-19,0.92285052754683616,0.77042019770495407,0.76928736811329101,9.2444637330587321e-33
