time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.069265859948506e-17,6.4762084552267629e-19,9.8449895125350331e-21,1.5731329903236112e-23,1.6424623885085336e-25,1.9882924797998241e-24,1.3228736391965529e-20,0.0019333935310058171,1,1,1.5407439555097887e-33
120,1.1363371054780858e-17,0,1.0068916503966438e-17,1.2307158264874709e-18,3.7921246823821982e-20,1.1834116988348208e-22,2.4985167037347712e-24,1.5472912503976788e-23,2.5681164904038891e-20,0.014544228219212281,1,1,3.0814879110195774e-33
180,1.1363371054780858e-17,0,9.4886375269875632e-18,1.7546946372270422e-18,8.2192709106011333e-20,3.7187247229308488e-22,1.1958370340363374e-23,5.0832947318999756e-23,3.7411517670293324e-20,0.045703436182003204,1,1,4.622231866529366e-33
240,1.1363371054780858e-17,0,8.948583030439997e-18,2.224535068981327e-18,1.4082050923458469e-19,8.0964161561261209e-22,3.5454358611910467e-23,1.1736869163652989e-22,4.8469981459094615e-20,0.09950562804842783,1,1,6.1629758220391547e-33
300,1.1363371054780858e-17,0,8.4457622092229067e-18,2.6448170725538025e-18,2.1215579820922331e-19,1.4290890733993592e-21,8.0442936661898282e-23,2.2343541805753257e-22,5.8903007366812589e-20,0.17563623588956964,1,0.95609094102760761,4.622231866529366e-33
360,1.1363371054780858e-17,0,7.9774340924905168e-18,3.0234062549421643e-18,2.9106188749338661e-19,2.1864003152589851e-21,1.5334564160814661e-22,3.7546888921176946e-22,6.8753605008717666e-20,0.26871041747342822,0.95609094102760761,0.93282239563164293,4.622231866529366e-33
420,1.1363371054780858e-17,0,7.5410821252716805e-18,3.3629988535362319e-18,3.7737960774072578e-19,3.0124237212531725e-21,2.5804847149773803e-22,5.7835897575292086e-22,7.8061637063721161e-20,0.37022938118672666,0.93282239563164293,0.90744265470331831,6.1629758220391547e-33
480,1.1363371054780858e-17,0,7.1343783352608938e-18,3.6676567727916237e-18,4.6940475029314548e-19,3.8352042693560523e-21,3.9545116942466497e-22,8.3648198784122989e-22,8.6864059008574905e-20,0.47134979496765511,0.90744265470331831,0.88216255125808618,0
540,1.1363371054780858e-17,0,6.7551768964716364e-18,3.9408779130438743e-18,5.6581139836766791e-19,4.5927679640399851e-21,5.6363657655975712e-22,1.1532985246220833e-21,9.5195143832462563e-20,0.56445500321362052,0.88216255125808618,0.85888624919659484,4.622231866529366e-33
600,1.1363371054780858e-17,0,6.4014967546316718e-18,4.1855981442005777e-18,6.6565484481028201e-19,5.244493504390402e-21,7.5858063650490375e-22,1.5315469183482011e-21,1.0308669007908852e-19,0.64455261425193222,0.85888624919659484,0.838861846437017,6.1629758220391547e-33
660,1.1363371054780858e-17,0,6.0715057276193154e-18,4.4042641996527021e-18,7.6831017832940572e-19,5.7741576972701248e-21,9.7515051079376352e-22,1.9734311231720733e-21,1.1056820984820324e-19,0.70964878415098276,0.838861846437017,0.82258780396225428,4.622231866529366e-33
720,1.1363371054780858e-17,0,5.7635066400655433e-18,4.598946992571157e-18,8.7337560611958843e-19,6.1858837064787186e-21,1.2080585036210323e-21,2.4807749123644405e-21,1.1766709890211135e-19,0.76025025317153805,0.82258780396225428,0.80993743670711549,4.622231866529366e-33
780,1.1363371054780858e-17,0,5.4759256238717566e-18,4.7714584426138611e-18,9.8057405619935414e-19,6.49646325590732e-21,1.452548338980154e-21,3.0551290586976422e-21,1.2440879144230764e-19,0.79842073814779146,0.80993743670711549,0.80039481546305213,6.1629758220391547e-33
