time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692272677737203e-17,6.4800304196220768e-19,9.8488426172616889e-21,1.5759355283856256e-23,1.6448041691951933e-25,1.9888779687560794e-24,1.322857975051723e-20,0.0019368378735965741,1,1,1.5407439555097887e-33
120,1.1363371054780858e-17,0,1.0067459857232982e-17,1.2321441976145233e-18,3.7950290316562084e-20,1.1875720657114324e-22,2.5055554700880312e-24,1.5481869894473308e-23,2.5679964984849886e-20,0.014595359474200438,1,1,4.622231866529366e-33
180,1.1363371054780858e-17,0,9.4855441115979438e-18,1.7576974953025289e-18,8.2285128231668404e-20,3.7379630476288064e-22,1.2008090065884088e-23,5.0876402750710808e-23,3.7407638851131569e-20,0.045939876792855626,1,1,6.1629758220391547e-33
240,1.1363371054780858e-17,0,8.9433911492421228e-18,2.2295232203013893e-18,1.4102728905386754e-19,8.150761152669577e-22,3.5646636163380796e-23,1.1750059622421118e-22,4.8461172835817296e-20,0.10017353257656335,1,0.97495661685585921,7.7037197775489434e-33
300,1.1363371054780858e-17,0,8.4381109165465919e-18,2.6538963919117413e-18,2.1073584528934341e-19,1.4372354771892339e-21,8.0924793414517451e-23,2.2321697865934816e-22,5.8886523783913143e-20,0.17663743569182316,0.97495661685585921,0.95584064107704425,6.1629758220391547e-33
360,1.1363371054780858e-17,0,7.9670396683779761e-18,3.034957773502792e-18,2.8992054915348572e-19,2.198044368849967e-21,1.5421128879633707e-22,3.7448813650191808e-22,6.8726319952450406e-20,0.27014148134571142,0.95584064107704425,0.93246462966357213,6.1629758220391547e-33
420,1.1363371054780858e-17,0,7.5277169406346606e-18,3.377203819513598e-18,3.765620946886854e-19,3.0317531655023985e-21,2.595276940351849e-22,5.768031521000017e-22,7.8020115932272706e-20,0.37260498596389835,0.93246462966357213,0.90684875350902538,6.1629758220391547e-33
480,1.1363371054780858e-17,0,7.1178729119905164e-18,3.6846544341692863e-18,4.6894199853706628e-19,3.8646069379218293e-21,3.9790786920488463e-22,8.3456545256786907e-22,8.6804629824289673e-20,0.47496340739260889,0.90684875350902538,0.8812591481518478,6.1629758220391547e-33
540,1.1363371054780858e-17,0,6.7354116520893829e-18,3.9607710584928313e-18,5.6572311946646207e-19,4.6325221241640836e-21,5.6748430351861303e-22,1.1512563588552031e-21,9.5113961945639044e-20,0.56934082256184304,0.8812591481518478,0.85766479435953924,4.622231866529366e-33
