time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692654722803848e-17,6.4664924543766843e-19,1.0818669615767091e-20,1.7315453936667369e-23,1.8076694762799068e-25,2.1854863303719299e-24,1.322873521635601e-20,0.0021280836924470821,1,1,4.622231866529366e-33
120,1.1363371054780858e-17,0,1.006888710886528e-17,1.2270225941840193e-18,4.1630195568852748e-20,1.3026407345938474e-22,2.7503495847232759e-24,1.6994857425413194e-23,2.5681146882235284e-20,0.016009562986599897,1,1,1.5407439555097887e-33
180,1.1363371054780858e-17,0,9.4885434792617924e-18,1.7467956855519534e-18,9.0142579285620161e-20,4.0893025201698668e-22,1.3158173914717365e-23,5.5792015475690183e-23,3.7411430240084817e-20,0.050257868136093217,1,1,0
240,1.1363371054780858e-17,0,8.9483716626274444e-18,2.2111830113833862e-18,1.5429076844785704e-19,8.8820636695782801e-22,3.8963776332484892e-23,1.2872556835871487e-22,4.8469716610520661e-20,0.10916130134180108,1,0.97270967466454972,0
300,1.1363371054780858e-17,0,8.445382982276496e-18,2.6271041741990023e-18,2.3009148866351758e-19,1.5576038536090868e-21,8.8159664730498018e-23,2.4425375323287906e-22,5.8902392370272846e-20,0.19143080928066028,0.97270967466454972,0.95214229767983494,4.622231866529366e-33
360,1.1363371054780858e-17,0,7.9768321601600202e-18,2.9989359219516024e-18,3.159084494209672e-19,2.3655990799966715e-21,1.6728591843635095e-22,4.092301838203709e-22,6.8752408066018158e-20,0.29073409472380518,0.95214229767983494,0.92731647631904868,3.0814879110195774e-33
420,1.1363371054780858e-17,0,7.5401901955731811e-18,3.3314807661540025e-18,4.0949434432497424e-19,3.2366446459792417e-21,2.8013008559610052e-22,6.2942350800368224e-22,7.8059550489123723e-20,0.39778631935076247,0.92731647631904868,0.90055342016230933,4.622231866529366e-33
480,1.1363371054780858e-17,0,7.1331307804810425e-18,3.6289743061994558e-18,5.0897876813841661e-19,4.0899690190348778e-21,4.2713863080907678e-22,9.093971457105376e-22,8.6860695166390201e-20,0.50266059462586021,0.90055342016230933,0.87433485134353495,1.5407439555097887e-33
540,1.1363371054780858e-17,0,6.7535111698025035e-18,3.8950025971478399e-18,6.1294937634408628e-19,4.8594828186309759e-21,6.0567564644190006e-22,1.2527149258912666e-21,9.519003809546398e-20,0.59723448070606711,0.87433485134353495,0.8506913798234832,0
600,1.1363371054780858e-17,0,6.3993538173665464e-18,4.1325197797321222e-18,7.2043934457889929e-19,5.5056835880565227e-21,8.109491071515557e-22,1.6621755397107076e-21,1.0307930486837229e-19,0.6766530928020047,0.8506913798234832,0.83083672679949883,1.5407439555097887e-33
660,1.1363371054780858e-17,0,6.0688298154531561e-18,4.3439512609726281e-18,8.3083765153629359e-19,6.0171583946359179e-21,1.0371985005335172e-21,2.1400311748540348e-21,1.1055793874875493e-19,0.73951377199414536,0.83083672679949883,0.8151215570014636,1.5407439555097887e-33
720,1.1363371054780858e-17,0,5.7602447655338473e-18,4.5313380175703088e-18,9.4376399027695095e-19,6.4041043890499235e-21,1.2787492159241487e-21,2.6881574939575998e-21,1.1765327030081933e-19,0.78706975658351919,0.8151215570014636,0.8032325608541202,0
780,1.1363371054780858e-17,0,5.4720271336189285e-18,4.6964745237408218e-18,1.058951268338653e-18,6.6885922476284031e-21,1.5307021972703814e-21,3.3081630607352682e-21,1.2439067157682034e-19,0.82203355105026565,0.8032325608541202,0.79449161223743359,1.5407439555097887e-33
