time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599485005e-17,6.4762084549436936e-19,9.8449660002597507e-21,1.5754677841468835e-23,1.644413377820071e-25,1.9882900816773225e-24,1.3228736391965517e-20,0.0019362630120362916,1,1,0
120,1.1363371054780858e-17,0,1.0068916503963032e-17,1.2307158256355442e-18,3.792089518455325e-20,1.1868785875062259e-22,2.5043813626677804e-24,1.5472853584233298e-23,2.5681164904037699e-20,0.014586836569372387,1,1,6.1629758220391547e-33
180,1.1363371054780858e-17,0,9.4886375269512201e-18,1.7546946311974948e-18,8.2191068943726793e-20,3.7347756641278823e-22,1.1999825090370707e-23,5.0832626643019577e-23,3.7411517670274137e-20,0.045900703584490998,1,1,4.622231866529366e-33
240,1.1363371054780858e-17,0,8.9485830302505502e-18,2.2245350455971216e-18,1.4081582775853155e-19,8.1418696696133296e-22,3.5614912132332363e-23,1.1736783660725572e-22,4.8469981458959626e-20,0.10006425551017584,1,0.97248232973470161,7.7037197775489434e-33
300,1.1363371054780858e-17,0,8.4457735320797005e-18,2.6467849601506356e-18,2.1017080588259782e-19,1.4350559730972122e-21,8.0833840990559724e-23,2.2285498692292468e-22,5.890301186691641e-20,0.17636957282592214,0.97248232973470161,0.95149836747287142,4.622231866529366e-33
360,1.1363371054780858e-17,0,7.9774693391664666e-18,3.0256680464787807e-18,2.8875895872491681e-19,2.1934751981421265e-21,1.5398654404847714e-22,3.7361142442741559e-22,6.8753637244080658e-20,0.2695799264649138,0.95149836747287142,0.92586552022214874,4.622231866529366e-33
420,1.1363371054780858e-17,0,7.5411448169293859e-18,3.3658143182824012e-18,3.7449240845455901e-19,3.023774384951623e-21,2.59050833777308e-22,5.7495833038015617e-22,7.8061727565411644e-20,0.37162438719716528,0.92586552022214874,0.89780329352077959,1.0785207688568521e-32
480,1.1363371054780858e-17,0,7.1344751769828222e-18,3.671347872898078e-18,4.6560299751228942e-19,3.8526396453825004e-21,3.9702819144349486e-22,8.3109516257511881e-22,8.6864244388276432e-20,0.47349261718469182,0.89780329352077959,0.8697895302742098,7.7037197775489434e-33
540,1.1363371054780858e-17,0,6.7553181362524156e-18,3.9457987253124058e-18,5.6073073461726776e-19,4.6166675677367376e-21,5.6604296603697623e-22,1.1452772081331666e-21,9.5195470856868647e-20,0.56739228438851974,0.8697895302742098,0.84396712179315703,7.7037197775489434e-33
