time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599485005e-17,6.4762084549457572e-19,9.8449662097176879e-21,1.5770836292580099e-23,1.4811866325972634e-25,1.9882446403409655e-24,1.3228736391965517e-20,0.001938248899119059,1,1,0
120,1.1363371054780858e-17,0,1.0068916503963073e-17,1.2307158256498448e-18,3.7920902688120421e-20,1.1892850623274487e-22,2.2576033176419084e-24,1.5471466231223106e-23,2.5681164904037714e-20,0.014616412345104631,1,1,1.5407439555097887e-33
180,1.1363371054780858e-17,0,9.4886375269520983e-18,1.7546946313812643e-18,8.2191135439224192e-20,3.7459494971744833e-22,1.082577685607595e-23,5.0822611421311765e-23,3.7411517670274528e-20,0.046038030922114205,1,1,3.0814879110195774e-33
240,1.1363371054780858e-17,0,8.9485830302578964e-18,2.224535046772128e-18,1.4081615429338733e-19,8.1735998394907342e-22,3.2154097774371542e-23,1.1732791675580551e-22,4.8469981458963839e-20,0.10045422193740124,1,0.97488644451564965,3.0814879110195774e-33
300,1.1363371054780858e-17,0,8.445772542581384e-18,2.6466129702414816e-18,2.103445393505171e-19,1.4421668419933199e-21,7.3033211118129779e-23,2.2279108069812611e-22,5.8903011473661353e-20,0.17724350452833573,0.97488644451564965,0.95568912386791605,3.0814879110195774e-33
360,1.1363371054780858e-17,0,7.9774644307134181e-18,3.0251547596261315e-18,2.8927854235219391e-19,2.2068480100693094e-21,1.3923902343394127e-22,3.7360135782688266e-22,6.875363369777579e-20,0.27122345617476079,0.95568912386791605,0.93219413595630984,7.7037197775489434e-33
420,1.1363371054780858e-17,0,7.5411309040745041e-18,3.3647297791519569e-18,3.7559365745772825e-19,3.0454057311964056e-21,2.3443099680158379e-22,5.7516401175886234e-22,7.8061713356903647e-20,0.37428289764439748,0.93219413595630984,0.90642927558890063,7.7037197775489434e-33
480,1.1363371054780858e-17,0,7.1344445411066314e-18,3.6694188285063792e-18,4.6756855789972138e-19,3.8835651099393397e-21,3.5956459178273258e-22,8.317932046007309e-22,8.6864204361798585e-20,0.47729338250366482,0.90642927558890063,0.88067665437408382,3.0814879110195774e-33
540,1.1363371054780858e-17,0,6.7552602230052919e-18,3.9427333511369471e-18,5.6386567154111512e-19,4.6565879190872618e-21,5.1296142194250454e-22,1.1468808586810882e-21,9.5195378897786579e-20,0.57229852877671383,0.88067665437408382,0.85692536780582151,7.7037197775489434e-33
600,1.1363371054780858e-17,0,6.4015976621119448e-18,4.1876131442419953e-18,6.635377197614155e-19,5.3214481629770714e-21,6.909483712801583e-22,1.523096530340927e-21,1.0308703560089601e-19,0.65401040580594572,0.85692536780582151,0.83649739854851357,9.2444637330587321e-33
660,1.1363371054780858e-17,0,6.0716253818632862e-18,4.4064984534878809e-18,7.6596673393135082e-19,5.860434013615848e-21,8.8878202051088394e-22,1.962581905577104e-21,1.1056868755862891e-19,0.72025221519768146,0.83649739854851357,0.81993694620057966,6.1629758220391547e-33
720,1.1363371054780858e-17,0,5.763646747944736e-18,4.6014457343692023e-18,8.7076493970985044e-19,6.277244300673162e-21,1.1015460967827468e-21,2.46711008203885e-21,1.1766773227756541e-19,0.77147854619513356,0.81993694620057966,0.80713036345121658,9.2444637330587321e-33
780,1.1363371054780858e-17,0,5.4760882103928551e-18,4.774248673588332e-18,9.7767245625503502e-19,6.5891069714806619e-21,1.3248060288983102e-21,3.0381953220949599e-21,1.2440960622215431e-19,0.809806727856201,0.80713036345121658,0.79754831803594972,7.7037197775489434e-33
840,1.1363371054780858e-17,0,5.2074895153079182e-18,4.9265356062072183e-18,1.0864772690315791e-18,6.8186346479584531e-21,1.5549480961150095e-21,3.6771550238833727e-21,1.3081792646617882e-19,0.83801587022487445,0.79754831803594972,0.79049603244378142,7.7037197775489434e-33
