time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599484293e-17,6.47620845197676e-19,9.8447677873961957e-21,1.5754439741956233e-23,1.6443935448280929e-25,2.1870404303617678e-24,1.3228736391965376e-20,0.0019362337494081329,1,1,0
120,1.1363371054780858e-17,0,1.0068916503941185e-17,1.2307158210438925e-18,3.7919358087362322e-20,1.1868426439875298e-22,2.5043208780248418e-24,1.7018219108274495e-23,2.5681164904028858e-20,0.014586394820537698,1,1,4.622231866529366e-33
180,1.1363371054780858e-17,0,9.4886375267915451e-18,1.7546946087070222e-18,8.218603834575264e-20,3.7346074245482007e-22,1.1999392893259672e-23,5.5903131015594491e-23,3.7411517670176739e-20,0.045898635906061927,1,1,1.5407439555097887e-33
240,1.1363371054780858e-17,0,8.9485830296024547e-18,2.22453497680022e-18,1.4080425876037486e-19,8.1413916327560815e-22,3.5613228204655837e-23,1.2905576790184362e-22,4.8469981458429802e-20,0.10005838039743541,1,0.97498540490064112,3.0814879110195774e-33
300,1.1363371054780858e-17,0,8.4457724999056392e-18,2.6466057230362475e-18,2.1032863107846827e-19,1.4352940578642356e-21,8.0833965494240192e-23,2.4506128165629964e-22,5.8903011455487857e-20,0.17639883364183698,0.97498540490064112,0.95590029158954071,0
360,1.1363371054780858e-17,0,7.9774642053041367e-18,3.025130070121167e-18,2.8926340909063143e-19,2.1947696784557896e-21,1.5401526080693554e-22,4.1095178709360112e-22,6.8753633538570597e-20,0.26973901917225929,0.95590029158954071,0.93256524520693518,4.622231866529366e-33
420,1.1363371054780858e-17,0,7.5411302068934232e-18,3.3646710602489583e-18,3.7558920537058376e-19,3.0270206951216822e-21,2.5916964994801828e-22,6.3267924072416026e-22,7.8061712682102452e-20,0.37202336141746561,0.93256524520693518,0.90699415964563357,3.0814879110195774e-33
480,1.1363371054780858e-17,0,7.1344428737374859e-18,3.6693038366798786e-18,4.6758925006555872e-19,3.8585614466847968e-21,3.9733215217249388e-22,9.1499836920839717e-22,8.6864202329869874e-20,0.47422041149071592,0.90699415964563357,0.88144489712732099,3.0814879110195774e-33
540,1.1363371054780858e-17,0,6.7552568386876246e-18,3.9425366640462263e-18,5.6392834057342269e-19,4.6255389931913991e-21,5.6664702476286424e-22,1.2616515332473764e-21,9.5195373922386225e-20,0.56848258995647516,0.88144489712732099,0.85787935251088121,4.622231866529366e-33
600,1.1363371054780858e-17,0,6.4015915645250089e-18,4.1873097438278786e-18,6.6365841042659172e-19,5.2856481625739592e-21,7.6307583552204576e-22,1.6755869554681526e-21,1.0308702504781724e-19,0.64961055597664785,0.85787935251088121,0.83759736100583804,3.0814879110195774e-33
660,1.1363371054780858e-17,0,6.0716153655550602e-18,4.4060672706481247e-18,7.6615760291283258e-19,5.8215639933325359e-21,9.8141344313699454e-22,2.1591707617918814e-21,1.105686674665815e-19,0.71547505737135164,0.83759736100583804,0.82113123565716206,1.5407439555097887e-33
720,1.1363371054780858e-17,0,5.7636314714270797e-18,4.6008721308277298e-18,8.7103211719008285e-19,6.2370075888371835e-21,1.2162700190927015e-21,2.7143605794982232e-21,1.1766769714854477e-19,0.76653342084011677,0.82113123565716206,0.80836664478997078,6.1629758220391547e-33
780,1.1363371054780858e-17,0,5.4760662846195156e-18,4.7735253631361111e-18,9.7801529873560927e-19,6.5489493457535227e-21,1.4627846875917883e-21,3.3428253455609253e-21,1.244095489107215e-19,0.80487132224974733,0.80836664478997078,0.79878216943756319,4.622231866529366e-33
840,1.1363371054780858e-17,0,5.2074595890431792e-18,4.9256621213375439e-18,1.0868888970658524e-18,6.7796020936941301e-21,1.7169937093722175e-21,4.0460133564475475e-21,1.3081783817477497e-19,0.8332187368370767,0.79878216943756319,0.79169531579073082,6.1629758220391547e-33
900,1.1363371054780858e-17,0,4.9564562517266609e-18,5.0588127041861764e-18,1.1974360045097225e-18,6.9505178595660891e-21,1.9759027934823514e-21,4.825181783507439e-21,1.3691449192174751e-19,0.85422442663675302,0.79169531579073082,0.78644389334081177,6.1629758220391547e-33
