time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658605352355e-17,6.476228093379089e-19,9.842998971544956e-21,1.5752311395905748e-23,1.6442160569423305e-25,1.9879926657084497e-24,1.3228736393384249e-20,0.0019359721739080917,1,1,1.5407439555097887e-33
120,1.1363371054780858e-17,0,1.0068916593743755e-17,1.2307309138386221e-18,3.7905757875110454e-20,1.1865235464642602e-22,2.5037826646132744e-24,1.5468238281216631e-23,2.5681164947781096e-20,0.01458247308543301,1,1,3.0814879110195774e-33
180,1.1363371054780858e-17,0,9.4886379617155715e-18,1.7547435497573307e-18,8.2141907382835422e-20,3.7331241239162138e-22,1.1995568888267332e-23,5.0809953452940284e-23,3.7411517990390271e-20,0.045880406017908409,1,1,1.5407439555097887e-33
240,1.1363371054780858e-17,0,8.9485843448876724e-18,2.2246464714370327e-18,1.4070363840195863e-19,8.1372062002749312e-22,3.5598413388322291e-23,1.1729826159065361e-22,4.8469982759189026e-20,0.10000694108408241,1,0.97499826472897944,3.0814879110195774e-33
300,1.1363371054780858e-17,0,8.445775566546376e-18,2.6468137618605663e-18,2.1014076065657301e-19,1.4344141250835934e-21,8.0793296093606055e-23,2.227430158276002e-22,5.890301528033588e-20,0.17629068917113563,0.97499826472897944,0.95592732770721611,1.5407439555097887e-33
360,1.1363371054780858e-17,0,7.9774702634182486e-18,3.0254727569039843e-18,2.8895365666679619e-19,2.1932602195817737e-21,1.5392646184810395e-22,3.7354841535130875e-22,6.8753642695046957e-20,0.26955350542101936,0.95592732770721611,0.93261162364474515,1.5407439555097887e-33
420,1.1363371054780858e-17,0,7.5411408835897767e-18,3.3651891937996804e-18,3.7512029920402223e-19,3.0247998199105937e-21,2.5900542646545093e-22,5.7514124377783362e-22,7.8061731697222134e-20,0.37175041400661724,0.93261162364474515,0.90706239649834575,3.0814879110195774e-33
480,1.1363371054780858e-17,0,7.1344601858558599e-18,3.6700399925777936e-18,4.6692204212378359e-19,3.8556699082969814e-21,3.9706469242145452e-22,8.318617054252309e-22,8.6864237917274176e-20,0.47386503901756555,0.90706239649834575,0.8815337402456086,1.5407439555097887e-33
540,1.1363371054780858e-17,0,6.7552831873488632e-18,3.9435347307234167e-18,5.630221890575699e-19,4.6221310426102386e-21,5.662530232507179e-22,1.147128137868734e-21,9.5195435447272384e-20,0.56806374999519205,0.8815337402456086,0.85798406250120196,6.1629758220391547e-33
600,1.1363371054780858e-17,0,6.4016297263356161e-18,4.1886147473606058e-18,6.6247134072575797e-19,5.2819427902766404e-21,7.6254019352135718e-22,1.5236323921200804e-21,1.030871249829539e-19,0.6491551626390426,0.85798406250120196,0.83771120934023935,6.1629758220391547e-33
660,1.1363371054780858e-17,0,6.0716684827423625e-18,4.4077252654153617e-18,7.6464644221328292e-19,5.817781458125634e-21,9.8073050947623121e-22,1.9635306052006448e-21,1.105688218370429e-19,0.71501018064797162,0.83771120934023935,0.8212474548380071,4.622231866529366e-33
720,1.1363371054780858e-17,0,5.7637030407808128e-18,4.6029299927935156e-18,8.6915273391400209e-19,6.2333186448756628e-21,1.2154423862270142e-21,2.4686002974207287e-21,1.1766792596400046e-19,0.76608004655864681,0.8212474548380071,0.8084799883603383,3.0814879110195774e-33
780,1.1363371054780858e-17,0,5.4761601439138606e-18,4.7760304429815709e-18,9.7572296854149906e-19,6.5454525977301083e-21,1.4618204720296862e-21,3.0403496910661167e-21,1.2440987658309767e-19,0.80444156900894626,0.8084799883603383,0.79888960774776341,4.622231866529366e-33
840,1.1363371054780858e-17,0,5.2075798997842466e-18,4.9286618163220982e-18,1.0841387317062473e-18,6.7763288211849314e-21,1.7159035302351495e-21,3.6800806993521275e-21,1.3081829391749191e-19,0.83281644892286788,0.79888960774776341,0.791795887769283,1.5407439555097887e-33
900,1.1363371054780858e-17,0,4.9566074780399055e-18,5.0623540440563965e-18,1.1941833549888287e-18,6.9474530330474373e-21,1.9746973715612653e-21,4.3889171652164881e-21,1.3691511012589838e-19,0.85384775690817549,0.791795887769283,0.78653806077295618,3.0814879110195774e-33
960,1.1363371054780858e-17,0,4.7219858236314892e-18,5.1785609905220251e-18,1.3056231142538695e-18,7.0765608279033824e-21,2.2360616790642204e-21,5.1678129411486286e-21,1.4272069092535635e-19,0.86971521229257764,0.78653806077295618,0.78257119692685562,1.5407439555097887e-33
1020,1.1363371054780858e-17,0,4.5025490152943825e-18,5.2786681786850698e-18,1.4182070783432088e-18,7.1767621150777505e-21,2.498519376602977e-21,6.0175520797337261e-21,1.4825394888677946e-19,0.88203003383741896,0.78257119692685562,0.77949249154064526,3.0814879110195774e-33
1080,1.1363371054780858e-17,0,4.2972160460244013e-18,5.3639900937356517e-18,1.5316756132829325e-18,7.257039316037367e-21,2.761064571544176e-21,6.9387488213241822e-21,1.5353244902896584e-19,0.89189616861288057,0.77949249154064526,0.77702595784677986,1.5407439555097887e-33
1140,1.1363371054780858e-17,0,4.104984926348509e-18,5.4357650405390159e-18,1.6457704591959109e-18,7.3232641385331579e-21,3.0230066818309673e-21,7.9318507292915422e-21,1.5857250714776417e-19,0.9000352543858533,0.77702595784677986,0.7749911864035367,3.0814879110195774e-33
1200,1.1363371054780858e-17,0,3.924927087143216e-18,5.4951516580054647e-18,1.7602428161483469e-18,7.3792072099350369e-21,3.2838595878239079e-21,8.9971454373342293e-21,1.6338928124873576e-19,0.90691070439664612,0.7749911864035367,0.77327232390083844,3.0814879110195774e-33
1260,1.1363371054780858e-17,0,3.7561820906074546e-18,5.5432282671378117e-18,1.8748584837500934e-18,7.4273172985154656e-21,3.543269421558208e-21,1.0134770118846823e-20,1.6799685644657646e-19,0.91282347430291977,0.77327232390083844,0.77179413142427,0
1320,1.1363371054780858e-17,0,3.5979526620215765e-18,5.5809946853287628e-18,1.9894004500573568e-18,7.4692412387761093e-21,3.8009699367423573e-21,1.1344722488465855e-20,1.7240832370918083e-19,0.91797596143482652,0.77179413142427,0.77050600964129334,3.0814879110195774e-33
