time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599479296e-17,6.4762084311047013e-19,9.8433787945754917e-21,1.7328041266597865e-23,1.8086790383874749e-25,1.9880953823797546e-24,1.3228736391964371e-20,0.0019360278961510391,1,1,0
120,1.1363371054780858e-17,0,1.0068916503789347e-17,1.2307157893153453e-18,3.7908846544494706e-20,1.3052537407962831e-22,2.7542902989739167e-24,1.5470563328918711e-23,2.5681164903967204e-20,0.014583342772897533,1,1,3.0814879110195774e-33
180,1.1363371054780858e-17,0,9.4886375257013933e-18,1.7546944570740275e-18,8.2152851188883276e-20,4.106821021009229e-22,1.3196086110223297e-23,5.0824958839232223e-23,3.7411517669506413e-20,0.045884701789692929,1,1,4.622231866529366e-33
240,1.1363371054780858e-17,0,8.9485830252841577e-18,2.2245345284193351e-18,1.4073179146729581e-19,8.9521074981361916e-22,3.9162204579341086e-23,1.173552008326753e-22,4.8469981454849144e-20,0.10002013256480069,1,0.97499496685879983,4.622231866529366e-33
300,1.1363371054780858e-17,0,8.4457724836684843e-18,2.6466040258920375e-18,2.1020161449276245e-19,1.5781317595814508e-21,8.8884317930076062e-23,2.2290320906903107e-22,5.8903011440998785e-20,0.1763215509095728,0.97499496685879983,0.9559196122726068,6.1629758220391547e-33
360,1.1363371054780858e-17,0,7.9774641561703959e-18,3.0251258891782953e-18,2.8907098776009859e-19,2.4131218683511739e-21,1.6934697488090352e-22,3.7391934120396006e-22,6.8753633487638561e-20,0.26961334994888603,0.9559196122726068,0.93259666251277851,7.7037197775489434e-33
420,1.1363371054780858e-17,0,7.541130088267175e-18,3.3646627461857855e-18,3.7532747852944654e-19,3.3281773745391585e-21,2.8496261461317506e-22,5.7588927425642054e-22,7.8061712535050286e-20,0.37185069802823839,0.93259666251277851,0.90703732549294036,7.7037197775489434e-33
480,1.1363371054780858e-17,0,7.1344426312398887e-18,3.6692896234311945e-18,4.6726193553023715e-19,4.2425684112250583e-21,4.3687271692803737e-22,8.3322147892142564e-22,8.6864201972466652e-20,0.47401380623983042,0.90703732549294036,0.88149654844004244,3.0814879110195774e-33
540,1.1363371054780858e-17,0,6.7552564022723514e-18,3.9425150796337388e-18,5.6354562643102045e-19,5.0861234615813926e-21,6.2304253057576075e-22,1.1494072863001646e-21,9.5195373165296785e-20,0.56826254932062326,0.88149654844004244,0.85793436266984413,7.7037197775489434e-33
600,1.1363371054780858e-17,0,6.4015908548742296e-18,4.1872799540701814e-18,6.632346604062547e-19,5.8123125993479829e-21,8.3903776574236428e-22,1.5272114538446636e-21,1.0308702361126533e-19,0.64939823032272781,0.85793436266984413,0.83765044241931808,7.7037197775489434e-33
