time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599485005e-17,6.4762084549436936e-19,9.8449660002597507e-21,1.5754677841468835e-23,1.644413377820071e-25,1.9882900816773225e-24,1.3228736391965517e-20,0.0019362630120362916,1,1,0
120,1.1363371054780858e-17,0,1.0068916503963032e-17,1.2307158256355442e-18,3.792089518455325e-20,1.1868785875062259e-22,2.5043813626677804e-24,1.5472853584233298e-23,2.5681164904037699e-20,0.014586836569372387,1,1,6.1629758220391547e-33
180,1.1363371054780858e-17,0,9.4886375269512201e-18,1.7546946311974948e-18,8.2191068943726793e-20,3.7347756641278823e-22,1.1999825090370707e-23,5.0832626643019577e-23,3.7411517670274137e-20,0.045900703584490998,1,1,4.622231866529366e-33
240,1.1363371054780858e-17,0,8.9485830302505502e-18,2.2245350455971216e-18,1.4081582775853155e-19,8.1418696696133296e-22,3.5614912132332363e-23,1.1736783660725572e-22,4.8469981458959626e-20,0.10006425551017584,1,1,7.7037197775489434e-33
300,1.1363371054780858e-17,0,8.4457622085594839e-18,2.6448170078792022e-18,2.1214572437954651e-19,1.4387860820587848e-21,8.0886325814802849e-23,2.234341885427039e-22,5.8903007366212276e-20,0.17682800632014106,1,1,1.5407439555097887e-33
360,1.1363371054780858e-17,0,7.9774129332170682e-18,3.0197540504049613e-18,2.9470988737374784e-19,2.2096215319986136e-21,1.5441439930117865e-22,3.7655128702177061e-22,6.875359656676081e-20,0.27156432432698968,1,1,1.5407439555097887e-33
420,1.1363371054780858e-17,0,7.540984084464761e-18,3.3532222723247751e-18,3.8719683972181708e-19,3.0622476610472398e-21,2.6056453567405159e-22,5.8348209039228031e-22,7.8061563982390196e-20,0.37635278483280094,1,1,3.0814879110195774e-33
480,1.1363371054780858e-17,0,7.13411925601993e-18,3.6487869911088238e-18,4.8842887375164437e-19,3.9211645255757382e-21,4.0070357601589534e-22,8.502842151979019e-22,8.6863781583672871e-20,0.48191438196195335,1,1,1.5407439555097887e-33
540,1.1363371054780858e-17,0,6.7546417243176736e-18,3.9097272195159666e-18,5.9733459645248782e-19,4.717615697938769e-21,5.7315651921172539e-22,1.1823393712422223e-21,9.5194402906337502e-20,0.57979889356271241,1,1,1.5407439555097887e-33
