time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599456489e-17,6.4762083358954695e-19,9.8370454603548317e-21,2.3606091618280385e-23,2.4647302244293925e-25,1.9873178664337004e-24,1.3228736391959774e-20,0.00290120829630083,1,1,0
120,1.1363371054780858e-17,0,1.0068916503098719e-17,1.2307156453469511e-18,3.7861382994433631e-20,1.771520483072687e-22,3.7448867397882234e-24,1.546150202366348e-23,2.5681164903686352e-20,0.02177213409854473,1,1,4.622231866529366e-33
180,1.1363371054780858e-17,0,9.4886375207905878e-18,1.7546937796347505e-18,8.2007066030582909e-20,5.5252513838843426e-22,1.7850011095854527e-23,5.0795508979422613e-23,3.7411517666472676e-20,0.067905799118645513,1,1,0
240,1.1363371054780858e-17,0,8.9485830061898226e-18,2.2245325836033723e-18,1.4042968094282095e-19,1.1859918802666836e-21,5.2499678337333739e-23,1.1731104739552951e-22,4.8469981438842066e-20,0.14575938863638846,1,0.96356015284090291,0
300,1.1363371054780858e-17,0,8.4457771378411841e-18,2.6474180035304314e-18,2.0889113267336486e-19,2.0415539434776552e-21,1.1755033842977597e-22,2.2266319892064623e-22,5.8903013255049172e-20,0.25090867789296983,0.96356015284090291,0.93727283052675758,1.5407439555097887e-33
360,1.1363371054780858e-17,0,7.9774867709499987e-18,3.0274535451008106e-18,2.8605954250475493e-19,3.0247226861441958e-21,2.1989523973694891e-22,3.7292834350092194e-22,6.8753649955909965e-20,0.37174093420256421,0.93727283052675758,0.90706476644935896,1.5407439555097887e-33
420,1.1363371054780858e-17,0,7.5411917719205357e-18,3.3692814650306628e-18,3.6988195505933497e-19,4.0189528162934329e-21,3.6189053294006665e-22,5.7324234962487077e-22,7.8061777071464505e-20,0.49393264423505046,0.90706476644935896,0.87651683894123744,3.0814879110195774e-33
480,1.1363371054780858e-17,0,7.134571635558508e-18,3.6768621533222569e-18,4.5878418243552727e-19,4.9198554737745652e-21,5.4119664469118316e-22,8.2765355773871224e-22,8.686437778835937e-20,0.60465433024340653,0.87651683894123744,0.84883641743914839,3.0814879110195774e-33
540,1.1363371054780858e-17,0,6.7554853806827198e-18,3.953423205300816e-18,5.517128613016298e-19,5.6625155542502087e-21,7.519667260752371e-22,1.1393648360602539e-21,9.5195760379302424e-20,0.69592787190579941,0.84883641743914839,0.82601803202355017,4.622231866529366e-33
600,1.1363371054780858e-17,0,6.4019529203047417e-18,4.2015562649059607e-18,6.4804800447608374e-19,6.2283868048492549e-21,9.8673222714077822e-22,1.5109838383660894e-21,1.030877622237122e-19,0.76547391931691555,0.82601803202355017,0.80863152017077111,1.5407439555097887e-33
660,1.1363371054780858e-17,0,6.0721391833856515e-18,4.4234006464921115e-18,7.4744378328240288e-19,6.6346270031474999e-21,1.2381563772476953e-21,1.9447252040246149e-21,1.1056993303626921e-19,0.8154011776132899,0.80863152017077111,0.79614970559667753,3.0814879110195774e-33
720,1.1363371054780858e-17,0,5.7643413410558266e-18,4.620829943978328e-18,8.4967124141800587e-19,6.9161528372861631e-21,1.5001365392412818e-21,2.4425380324718004e-21,1.1766970091969682e-19,0.85000093681246225,0.79614970559667753,0.78749976579688441,3.0814879110195774e-33
780,1.1363371054780858e-17,0,5.4769786473149776e-18,4.7955842943085372e-18,9.5451123165237214e-19,7.110016247059602e-21,1.7681762671532756e-21,3.0061642518327629e-21,1.2441252473892369e-19,0.8738269111363236,0.78749976579688441,0.78154327221591913,3.0814879110195774e-33
840,1.1363371054780858e-17,0,5.2085840227248435e-18,4.949334608076113e-18,1.0617074362841094e-18,7.2465562978931007e-21,2.0392438884860047e-21,3.6371520672192061e-21,1.3082203544219029e-19,0.89060779696279069,0.78154327221591913,0.77734805075930236,3.0814879110195774e-33
900,1.1363371054780858e-17,0,4.9577965861998319e-18,5.0836961651009097e-18,1.1709629471750807e-18,7.3469302526276794e-21,2.3114076916350061e-21,4.3368504427674533e-21,1.3692016791800248e-19,0.90294383949441315,0.77734805075930236,0.77426404012639671,1.5407439555097887e-33
960,1.1363371054780858e-17,0,4.7233546436511391e-18,5.2002179038090999e-18,1.2819569758070389e-18,7.4243834667434773e-21,2.5834616158229138e-21,5.1064022347054621e-21,1.4272728419630266e-19,0.91246290393767338,0.77426404012639671,0.77188427401558168,4.622231866529366e-33
1020,1.1363371054780858e-17,0,4.50408894112083e-18,5.3003673474331696e-18,1.3943643871333644e-18,7.4867072943977986e-21,2.8546398375845837e-21,5.9467435599490113e-21,1.4826228840155586e-19,0.92012255419963873,0.77188427401558168,0.76996936145009032,7.7037197775489434e-33
1080,1.1363371054780858e-17,0,4.2989161715720093e-18,5.3855205338563111e-18,1.5078701466969292e-18,7.5384250246059033e-21,3.1244337313230281e-21,6.8586101423374837e-21,1.5354273375733556e-19,0.92647870626292261,0.76996936145009032,0.76838032343426932,6.1629758220391547e-33
1140,1.1363371054780858e-17,0,4.1068327885333432e-18,5.456958580626339e-18,1.6221774709518769e-18,7.5822575101561533e-21,3.3924866789156268e-21,7.8425485031352407e-21,1.5858492197708299e-19,0.93186575519852,0.76838032343426932,0.76703356120037003,9.2444637330587321e-33
1200,1.1363371054780858e-17,0,3.9269091756154672e-18,5.5158691469812809e-18,1.7370113139528245e-18,7.6199563906418111e-21,3.6585368260701328e-21,8.8989295735000277e-21,1.6340399544106445e-19,0.93649897896952106,0.76703356120037003,0.76587525525761979,7.7037197775489434e-33
1260,1.1363371054780858e-17,0,3.7582841949401796e-18,5.5633505947537005e-18,1.8521191591001871e-18,7.6527345567857312e-21,3.9223858115954593e-21,1.0027963015224077e-20,1.6801402260317547e-19,0.94052744285469148,0.76587525525761979,0.76486813928632713,1.0785207688568521e-32
1320,1.1363371054780858e-17,0,3.6001601142918811e-18,5.6004172931568779e-18,1.9672704962499776e-18,7.6814820016173831e-21,4.1838806944100215e-21,1.122971130204542e-20,1.7242807708403757e-19,0.94406052773768212,0.76486813928632713,0.76398486806557941,1.0785207688568521e-32
1380,1.1363371054780858e-17,0,3.451797898856069e-18,5.6280052206603853e-18,2.0822557405177715e-18,7.7068781183671903e-21,4.4429026035469139e-21,1.2504103127403296e-20,1.7665831089730398e-19,0.94718173161165631,0.76398486806557941,0.76320456709708595,9.2444637330587321e-33
1440,1.1363371054780858e-17,0,3.3125128470796534e-18,5.6469774750525237e-18,2.1968849501104013e-18,7.7294552914845371e-21,4.6993590347627733e-21,1.3850945977280216e-20,1.8071602223473996e-19,0.94995648496830021,0.76320456709708595,0.76251087875792489,1.0785207688568521e-32
1500,1.1363371054780858e-17,0,3.1816705482389703e-18,5.6581295348307822e-18,2.3109864988892152e-18,7.7496384619977025e-21,4.9531783183024924e-21,1.5269937831951214e-20,1.8461171820962753e-19,0.95243701341347087,0.76251087875792489,0.76189074664663226,1.0785207688568521e-32
1560,1.1363371054780858e-17,0,3.0586831394056456e-18,5.6621942171286737e-18,2.4244057701655087e-18,7.7677716412822984e-21,5.2043054956711426e-21,1.6760678012976392e-20,1.8835517293108635e-19,0.95466559623139235,0.76189074664663226,0.76133360094215186,1.3866695599588098e-32
1620,1.1363371054780858e-17,0,2.9430058404330893e-18,5.6598463193486003e-18,2.5370039007819792e-18,7.7841365798049428e-21,5.4526991689825641e-21,1.8322677212740067e-20,1.9195548125564714e-19,0.95667686078878234,0.76133360094215186,0.76083078480280442,1.5407439555097887e-32
1680,1.1363371054780858e-17,0,2.8341337468068123e-18,5.6517069489101663e-18,2.6486565883800747e-18,7.7989663453575017e-21,5.6983290491746926e-21,1.9955366751777839e-20,1.954211085374789e-19,0.95849945131113556,0.76083078480280442,0.76037513717221605,1.6948183510607676e-32
1740,1.1363371054780858e-17,0,2.7315988614925556e-18,5.6383475529028352e-18,2.7592529671500749e-18,7.8124554283217965e-21,5.9411740202342415e-21,2.1658107111562473e-20,1.9875993667525824e-19,0.96015727082816216,0.76037513717221605,0.75996068229295943,1.3866695599588098e-32
1800,1.1363371054780858e-17,0,2.6349673481919875e-18,5.6202936626667334e-18,2.8686945534102047e-18,7.8247673976242487e-21,6.1812205921563748e-21,2.3430195790337876e-20,2.0197930673179778e-19,0.96167042209698184,0.75996068229295943,0.75958239447575449,1.5407439555097887e-32
1860,1.1363371054780858e-17,0,2.5438369896421935e-18,5.5980283696290263e-18,2.9768942601602893e-18,7.8360407873546594e-21,6.4184616515242327e-21,2.5270874528270697e-20,2.0508605838218472e-19,0.96305593107246901,0.75958239447575449,0.75923601723188272,1.5407439555097887e-32
1920,1.1363371054780858e-17,0,2.457834835758175e-18,5.5719955490319076e-18,3.0837754784934413e-18,7.8463936807634909e-21,6.6528954430772433e-21,2.7179335946234912e-20,2.0808656642724874e-19,0.96432831028433152,0.75923601723188272,0.75891792242891709,9.2444637330587321e-33
1980,1.1363371054780858e-17,0,2.3766150275120492e-18,5.5426028479516729e-18,3.1892712230326627e-18,7.8559273198960243e-21,6.884524732691065e-21,2.9154729640275888e-20,2.109867745916014e-19,0.96550000246415113,0.75891792242891709,0.75862499938396222,7.7037197775489434e-33
2040,1.1363371054780858e-17,0,2.299856783467529e-18,5.5102244534667251e-18,3.2933233381753451e-18,7.8647289763383334e-21,7.1133561143334781e-21,3.119616777139719e-20,2.1379222680918295e-19,0.96658173336245201,0.75862499938396222,0.75835456665938694,6.1629758220391547e-33
2100,1.1363371054780858e-17,0,2.2272625368451251e-18,5.4752036561233468e-18,3.3958817617531626e-18,7.8728742548360472e-21,7.3393994323631477e-21,3.3302730187884247e-20,2.1650809618413542e-19,0.96758279486536292,0.75835456665938694,0.75810430128365924,4.622231866529366e-33
2160,1.1363371054780858e-17,0,2.1585562118848056e-18,5.4378552230542164e-18,3.4969038426721085e-18,7.8804289569034334e-21,7.5626672970197851e-21,3.5473469114986751e-20,2.1913921180081332e-19,0.96851127403372339,0.75810430128365924,0.75787218149156921,3.0814879110195774e-33
2220,1.1363371054780858e-17,0,2.0934816291018225e-18,5.3984675942760202e-18,3.5963537091392725e-18,7.887450599715057e-21,7.7831746757927293e-21,3.7707413444466346e-20,2.2169008354376616e-19,0.96937423977613235,0.75787218149156921,0.75765644005596688,1.5407439555097887e-33
2280,1.1363371054780858e-17,0,2.0318010298015019e-18,5.3573049148605643e-18,3.6942016841784301e-18,7.8939896625391765e-21,8.0009385470106822e-21,4.0003572654299266e-20,2.2416492507651084e-19,0.97017789603664928,0.75765644005596688,0.75745552599083765,0
