time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
120,1.1363371054780858e-17,0,1.0068916503962596e-17,1.2307158256362701e-18,3.7920895184180011e-20,1.1868785884667385e-22,2.5043813486147039e-24,1.5472853587178226e-23,2.5681164904044331e-20,0.014586836581177166,1,1,1.3866695599588098e-32
240,1.1363371054780858e-17,0,8.9485830302497921e-18,2.2245350455983534e-18,1.4081582775786629e-19,8.1418696715155042e-22,3.5614912114068243e-23,1.1736783661171971e-22,4.8469981458970935e-20,0.10006425553355372,1,0.9749839361166116,3.0814879110195774e-33
360,1.1363371054780858e-17,0,7.9774550081042143e-18,3.0235416872809602e-18,2.9089469559509529e-19,2.1976207834054086e-21,1.540636168573576e-22,3.7434952562228442e-22,6.8753629874712875e-20,0.27008942234222127,0.9749839361166116,0.9324776444144447,9.2444637330587321e-33
480,1.1363371054780858e-17,0,7.134385245712126e-18,3.6652294032293302e-18,4.7178831533117151e-19,3.8700813789122194e-21,3.9794217499592136e-22,8.3593770368779077e-22,8.6864129250652087e-20,0.47563622074416895,0.9324776444144447,0.88109094481395778,1.8488927466117464e-32
600,1.1363371054780858e-17,0,6.401436915630559e-18,4.1808390848855591e-18,6.7040546970667844e-19,5.3034097390587222e-21,7.6491013790793685e-22,1.5345582452416793e-21,1.0308670643587017e-19,0.651793468501357,0.88109094481395778,0.83705163287466078,1.6948183510607676e-32
720,1.1363371054780858e-17,0,5.7633432801698483e-18,4.5928745285869824e-18,8.7952285344610932e-19,6.2541028677398586e-21,1.219522347929242e-21,2.4899160952532856e-21,1.1766685126700536e-19,0.76863444483773646,0.83705163287466078,0.80784138879056588,1.0785207688568521e-32
840,1.1363371054780858e-17,0,5.2070247511360082e-18,4.9170559436742164e-18,1.0962459134104282e-18,6.7923570056248531e-21,1.7213857376735468e-21,3.7145797676757217e-21,1.308161240492378e-19,0.83478632612336678,0.80784138879056588,0.7913034184691583,6.1629758220391547e-33
960,1.1363371054780858e-17,0,4.7212239679826417e-18,5.1657909258449638e-18,1.319091038540936e-18,7.0881093789924944e-21,2.2425108590207816e-21,5.2175609533067686e-21,1.4271694122100569e-19,0.87113453882793845,0.7913034184691583,0.78221636529301541,9.2444637330587321e-33
1080,1.1363371054780858e-17,0,4.2962441668145019e-18,5.3501367064738537e-18,1.5464243199797683e-18,7.2656452952986456e-21,2.7681507869852756e-21,7.0054465006980009e-21,1.5352661892976042e-19,0.89295385062286137,0.78221636529301541,0.77676153734428466,9.2444637330587321e-33
