time_s,initial_mol,cumulative_inlet_mol,blood_free_mol,endothelium_free_mol,interstitium_free_mol,receptor_bound_mol,internalized_mol,cleared_or_degraded_mol,cumulative_outlet_mol,occupancy_fraction,applied_feedback_multiplier,scheduled_feedback_multiplier,balance_error_mol
0,1.1363371054780858e-17,0,1.1363371054780858e-17,0,0,0,0,0,0,0,1,1,0
60,1.1363371054780858e-17,0,1.0692658599484778e-17,6.4762084549473972e-19,9.8449660000785854e-21,1.5754677881581043e-23,1.6444132992057533e-25,1.988290083263888e-24,1.3228736391968895e-20,0.0019362630169661153,1,1,3.0814879110195774e-33
120,1.1363371054780858e-17,0,1.0068916503962609e-17,1.2307158256362274e-18,3.7920895184201954e-20,1.1868785884102812e-22,2.504381349438987e-24,1.547285358700532e-23,2.5681164904043922e-20,0.014586836580483301,1,1,3.0814879110195774e-33
180,1.1363371054780858e-17,0,9.4886375269506392e-18,1.7546946311984396e-18,8.2191068943224824e-20,3.7347756655264041e-22,1.1999825074097055e-23,5.0832626646640211e-23,3.7411517670282761e-20,0.045900703601678944,1,1,1.5407439555097887e-33
240,1.1363371054780858e-17,0,8.9485830302498322e-18,2.2245350455982825e-18,1.4081582775790543e-19,8.1418696714037749e-22,3.5614912115138842e-23,1.1736783661145755e-22,4.8469981458970236e-20,0.10006425553218057,1,0.97498393611695489,0
300,1.1363371054780858e-17,0,8.4457725024150381e-18,2.6466059907232477e-18,2.103504086708981e-19,1.4353952455611088e-21,8.0838613936745588e-23,2.2290765447534684e-22,5.8903011457697897e-20,0.17641126969395432,0.97498393611695489,0.95589718257651146,3.0814879110195774e-33
360,1.1363371054780858e-17,0,7.9774642131343145e-18,3.0251307555220712e-18,2.8929960409931893e-19,2.1949444196766148e-21,1.5402546473068793e-22,3.7387859422361644e-22,6.875363354651832e-20,0.26976049501365484,0.95589718257651146,0.93255987624658632,4.622231866529366e-33
420,1.1363371054780858e-17,0,7.541130226486209e-18,3.3646724914485989e-18,3.7564442393734472e-19,3.027279483826566e-21,2.5918861750561713e-22,5.7573210168959397e-22,7.8061712705683382e-20,0.37205516676456579,0.93255987624658632,0.90698620830885857,1.5407439555097887e-33
480,1.1363371054780858e-17,0,7.1344429155005387e-18,3.6693064314076199e-18,4.6766840708564106e-19,3.8589005604857974e-21,3.9736319326787563e-22,8.3283464430190087e-22,8.6864202389005914e-20,0.47426208885894622,0.90698620830885857,0.8814344777852634,3.0814879110195774e-33
540,1.1363371054780858e-17,0,6.7552569175242549e-18,3.9425408820139852e-18,5.6403661505413413e-19,4.6259412116131178e-21,5.6669296088781346e-22,1.1486319638319713e-21,9.5195374052163089e-20,0.56853202293508454,0.8814344777852634,0.85786699426622892,1.2325951644078309e-32
